length,power_projlen,count,reservoir_count
60,1,1844,1844
60,3,1,1
60,4,2,2
60,6,4,4
60,7,120,120
60,8,10,10
60,9,462,462
60,10,112,112
60,11,508,508
60,12,262,262
60,13,1999,1999
60,14,505,505
60,15,2461,2461
60,16,860,860
60,17,2721,2721
60,18,1760,1760
60,19,3000,4644
60,20,2584,2584
60,21,3000,7530
60,22,3000,4401
60,23,3000,6310
60,24,3000,4983
60,25,3000,11478
60,26,3000,10026
60,27,3000,12069
60,28,3000,9767
60,29,3000,8333
60,30,3000,6780
60,31,3000,16822
60,32,3000,16990
60,33,3000,12342
60,34,3000,9373
60,35,3000,4088
60,36,3000,3309
60,37,3000,20508
60,38,3000,13736
60,39,3000,5702
60,40,2947,2947
60,41,1255,1255
60,42,948,948
60,43,3000,9641
60,44,3000,5164
60,45,1428,1428
60,46,690,690
60,47,313,313
60,48,199,199
60,49,2862,2862
60,50,1427,1427
60,51,265,265
60,52,106,106
60,53,48,48
60,54,59,59
60,55,1158,1158
60,56,473,473
60,57,32,32
60,58,80,80
60,59,3,3
60,60,22,22
60,61,272,272
60,62,116,116
60,63,4,4
60,64,16,16
60,65,2,2
60,66,1,1
60,67,23,23
60,68,8,8
60,69,1,1
60,70,2,2
60,73,6,6
60,79,2,2
