epoch,train_brier,train_correct,train_cross_entropy,train_loss
1,0.10039023510941152,0.92234375,0.24846076648475138,0.25814616003581903
2,0.018106803094515907,0.989978125,0.04682875154567882,0.048606065897780354
3,0.017051744531880377,0.990390625,0.04321010767258704,0.044853717395814605
4,0.01612094100504247,0.990859375,0.040158441095019225,0.04168896870229073
5,0.015555322817177426,0.991159375,0.03791494731830899,0.03938947240241396
6,0.015075847324349844,0.99136875,0.03547533309172723,0.03689704602270213
7,0.014577382691567073,0.991615625,0.03346343700856669,0.03483990378353046
8,0.014103814941897826,0.991784375,0.03154222184858518,0.03287734503726824
9,0.013654329942977257,0.991959375,0.029629400098801124,0.03091714855027385
10,0.01313987148588476,0.99206875,0.027719077537400882,0.028962544004424128
