kernel_id,depth,projlen,support_width,typical_projlen,surprise,surprise_z,kernel_match,kernel_type
0,1,2,3,2.5312499999999996,0.5312499999999996,0.5312499999999996,False,
0,2,4,5,4.919921874999997,0.9199218749999973,0.9199218749999973,False,
0,3,6,7,7.3037109375000036,1.3037109375000036,1.3037109375000036,False,
0,4,8,9,9.718750000000016,1.718750000000016,1.6797930985143905,False,
0,5,10,11,12.133789062500009,2.133789062500009,1.8393917554886752,False,
0,6,12,13,14.56640624999999,2.5664062499999893,2.0284982566610266,False,
0,7,14,15,16.96777343749998,2.9677734374999787,2.166332549480867,False,
0,8,16,17,19.373046874999993,3.373046874999993,2.326975781726993,False,
0,9,17,18,21.783203124999986,4.783203124999986,3.0561683781392803,False,
0,10,18,19,24.19042968749997,6.190429687499972,3.7840119651768793,False,
0,11,17,18,26.592773437500007,9.592773437500007,5.538222031773198,False,
0,12,20,21,29.027343750000007,9.027343750000007,4.897853010075336,False,
0,13,21,22,31.440429687500014,10.440429687500014,5.398373429743448,False,
0,14,22,23,33.83203125000006,11.832031250000057,5.879412421982838,False,
0,15,22,23,36.25781249999999,14.257812499999993,6.893744142231896,False,
0,16,23,24,38.66308593750008,15.663085937500078,7.384239313978615,False,
0,17,22,23,41.05078124999994,19.050781249999943,8.671679884348276,False,
0,18,23,24,43.45703125000002,20.45703125000002,9.117424994528024,False,
0,19,23,24,45.89746093749999,22.897460937499993,9.927423795647789,False,
0,20,24,25,48.301757812499936,24.301757812499936,10.211637119886065,False,
0,21,24,25,50.708007812499964,26.708007812499964,10.852613076872784,False,
0,22,24,25,53.12988281249994,29.129882812499943,11.650153390760993,False,
0,23,25,26,55.54101562499992,30.541015624999922,11.856090431895144,False,
0,24,24,25,57.927734375000014,33.927734375000014,12.865179041633068,False,
0,25,26,27,60.34765625000007,34.34765625000007,12.847241060527448,False,
0,26,27,28,62.732421875000036,35.732421875000036,13.097075727155675,False,
0,27,28,29,65.12402343749994,37.12402343749994,13.317717674544737,False,
0,28,28,29,67.51757812499999,39.517578124999986,13.992376362351711,False,
0,29,28,29,69.90624999999993,41.90624999999993,14.766561039851977,False,
0,30,28,29,72.30664062500004,44.30664062500004,15.504823124518165,False,
0,31,29,30,74.7177734375,45.7177734375,15.70462072399767,False,
0,32,28,29,77.12304687499999,49.123046874999986,16.605465054536058,False,
0,33,29,30,79.52832031250003,50.52832031250003,16.773524320528328,False,
0,34,28,29,81.91894531249999,53.918945312499986,17.665524928962732,False,
0,35,27,28,84.34472656249986,57.34472656249986,18.48863349268874,False,
0,36,25,26,86.77832031249999,61.778320312499986,19.77456167526635,False,
0,37,26,27,89.20117187499994,63.20117187499994,20.064021135846993,False,
0,38,25,26,91.60742187499994,66.60742187499994,20.754810674784842,False,
0,39,26,27,94.00683593749993,68.00683593749993,20.862031379023815,False,
0,40,25,26,96.39941406249989,71.39941406249989,21.63116777409012,False,
0,41,25,26,98.79101562499996,73.79101562499996,21.978730097134576,False,
0,42,24,25,101.18554687499999,77.18554687499999,22.516873629581593,False,
0,43,23,24,103.6181640625001,80.6181640625001,23.122541346759125,False,
