length,power_projlen,count,reservoir_count
30,35,1,1
30,71,1,1
30,83,2,2
30,86,1,1
30,89,2,2
30,97,2,2
30,99,4,4
30,101,4,4
30,102,5,5
30,103,6,6
30,104,2,2
30,105,3,3
30,106,2,2
30,107,7,7
30,108,2,2
30,109,7,7
30,110,2,2
30,111,17,17
30,112,12,12
30,113,47,47
30,114,6,6
30,115,37,37
30,116,11,11
30,117,23,23
30,118,10,10
30,119,69,69
30,120,10,10
30,121,100,100
30,122,50,50
30,123,158,158
30,124,33,33
30,125,158,158
30,126,64,64
30,127,192,192
30,128,83,83
30,129,220,220
30,130,41,41
30,131,286,286
30,132,217,217
30,133,670,670
30,134,258,258
30,135,903,903
30,136,379,379
30,137,937,937
30,138,233,233
30,139,510,510
30,140,230,230
30,141,1008,1008
30,142,1136,1136
30,143,3000,3419
30,144,1800,1800
30,145,3000,4746
30,146,1219,1219
30,147,1910,1910
30,148,972,972
30,149,1273,1273
30,150,330,330
30,151,3000,3855
30,152,3000,6728
30,153,3000,16955
30,154,3000,6225
30,155,3000,8474
30,156,3000,3502
30,157,2967,2967
30,158,1323,1323
30,159,941,941
30,160,373,373
30,161,3000,16732
30,162,3000,21379
30,163,3000,24162
30,164,3000,10478
30,165,3000,5383
30,166,3000,4578
30,167,3000,3118
30,168,1432,1432
30,169,677,677
30,170,357,357
30,171,3000,26424
30,172,3000,27900
30,173,3000,11322
30,174,3000,8410
30,175,1240,1240
30,176,1329,1329
30,177,724,724
30,178,480,480
30,179,79,79
30,180,7,7
30,181,3000,23288
30,182,3000,16956
30,183,3000,4458
30,184,1414,1414
30,185,127,127
30,186,156,156
30,187,63,63
30,188,25,25
30,190,6,6
30,191,3000,16077
30,192,3000,4824
30,193,719,719
30,194,230,230
30,195,4,4
30,196,2,2
30,197,2,2
30,198,2,2
30,201,2841,2841
30,202,979,979
30,203,16,16
30,204,4,4
30,211,152,152
30,212,22,22
30,213,1,1
30,214,1,1
30,221,3,3
30,222,5,5
30,223,3,3
30,227,3,3
30,228,2,2
30,230,1,1
30,233,13,13
30,234,5,5
30,237,3,3
30,238,2,2
30,240,1,1
30,241,1,1
30,242,2,2
30,244,3,3
30,246,3,3
30,250,1,1
30,252,2,2
30,256,1,1
30,260,4,4
30,262,2,2
30,266,4,4
30,277,1,1
30,279,2,2
30,280,7,7
30,284,1,1
30,288,5,5
30,290,1,1
30,291,3,3
30,292,2,2
30,294,3,3
30,295,3,3
30,296,1,1
30,301,2,2
30,302,11,11
30,303,13,13
30,304,26,26
30,305,17,17
30,306,2,2
30,307,1,1
30,308,5,5
30,311,43,43
30,312,40,40
30,313,6,6
30,314,2,2
30,315,1,1
30,321,11,11
30,323,6,6
30,331,17,17
30,332,3,3
30,333,3,3
30,334,17,17
30,335,6,6
30,341,6,6
30,342,15,15
30,344,19,19
30,345,9,9
30,351,12,12
30,352,6,6
30,361,18,18
