heuristic,length,bucket,count,seen,score
power_projlen,40,"[40, 1]",40,40,[1]
power_projlen,40,"[40, 7]",37,37,[7]
power_projlen,40,"[40, 9]",1,1,[9]
power_projlen,40,"[40, 13]",42,42,[13]
power_projlen,40,"[40, 15]",1,1,[15]
power_projlen,40,"[40, 17]",1,1,[17]
power_projlen,40,"[40, 18]",2,2,[18]
power_projlen,40,"[40, 19]",6,6,[19]
power_projlen,40,"[40, 21]",1,1,[21]
power_projlen,40,"[40, 23]",29,29,[23]
power_projlen,40,"[40, 24]",1,1,[24]
power_projlen,40,"[40, 25]",30,30,[25]
power_projlen,40,"[40, 26]",17,17,[26]
power_projlen,40,"[40, 27]",26,26,[27]
power_projlen,40,"[40, 28]",13,13,[28]
power_projlen,40,"[40, 29]",105,105,[29]
power_projlen,40,"[40, 30]",10,10,[30]
power_projlen,40,"[40, 31]",110,110,[31]
power_projlen,40,"[40, 32]",38,38,[32]
power_projlen,40,"[40, 33]",232,232,[33]
power_projlen,40,"[40, 34]",83,83,[34]
power_projlen,40,"[40, 35]",302,302,[35]
power_projlen,40,"[40, 36]",217,217,[36]
power_projlen,40,"[40, 37]",319,319,[37]
power_projlen,40,"[40, 38]",364,364,[38]
power_projlen,40,"[40, 39]",471,471,[39]
power_projlen,40,"[40, 40]",711,711,[40]
power_projlen,40,"[40, 41]",773,773,[41]
power_projlen,40,"[40, 42]",839,839,[42]
power_projlen,40,"[40, 43]",1384,1384,[43]
power_projlen,40,"[40, 44]",2000,2016,[44]
power_projlen,40,"[40, 45]",1678,1678,[45]
power_projlen,40,"[40, 46]",2000,2170,[46]
power_projlen,40,"[40, 47]",2000,2592,[47]
power_projlen,40,"[40, 48]",2000,2720,[48]
power_projlen,40,"[40, 49]",2000,3934,[49]
power_projlen,40,"[40, 50]",2000,4563,[50]
power_projlen,40,"[40, 51]",2000,6658,[51]
power_projlen,40,"[40, 52]",2000,5018,[52]
power_projlen,40,"[40, 53]",2000,2136,[53]
power_projlen,40,"[40, 54]",2000,3636,[54]
power_projlen,40,"[40, 55]",2000,10179,[55]
power_projlen,40,"[40, 56]",2000,12783,[56]
power_projlen,40,"[40, 57]",2000,3990,[57]
