prime,word_index,kernel_length,prefix_length,precursor_projlen,precursor_identity_defect,power,power_projlen,power_identity_defect,source_class,sources,precursor_factor_ids,kernel_factor_ids
3,1,24,8,16,40,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,1 4 2 13 20 13 10 13,1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13
3,1,24,16,16,46,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13,1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13
3,1,24,19,10,28,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4 2,1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13
3,3,24,8,14,40,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,1 4 13 20 13 10 2 13,1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13
3,3,24,16,14,41,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13,1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13
3,6,24,21,7,19,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,2 2 13 11 13 7 10 13 4 13 11 13 21 21 10 13 8 16 13 20 13,2 2 13 11 13 7 10 13 4 13 11 13 21 21 10 13 8 16 13 20 13 10 13 4
3,7,24,21,7,21,3,1,0,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:130|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:114|burau-experiments/src/kernel_db.json,2 2 13 20 13 7 10 13 8 13 20 13 21 21 10 13 4 16 13 11 13,2 2 13 20 13 7 10 13 8 13 20 13 21 21 10 13 4 16 13 11 13 10 13 8
3,8,24,8,16,39,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,2 13 1 4 13 20 13 10,2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10
3,8,24,16,16,52,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10,2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10
3,10,24,8,16,41,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,2 13 6 8 13 11 13 10,2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10
3,10,24,16,16,49,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10,2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10
3,13,24,8,14,51,3,1,0,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:55|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:39|burau-experiments/src/kernel_db.json,2 13 11 13 10 13 6 8,2 13 11 13 10 13 6 8 2 13 11 13 10 13 6 8 2 13 11 13 10 13 6 8
3,13,24,16,14,39,3,1,0,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:55|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:39|burau-experiments/src/kernel_db.json,2 13 11 13 10 13 6 8 2 13 11 13 10 13 6 8,2 13 11 13 10 13 6 8 2 13 11 13 10 13 6 8 2 13 11 13 10 13 6 8
3,15,24,21,7,19,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,2 13 11 22 13 10 13 8 13 10 13 11 13 11 16 3 4 13 7 20 13,2 13 11 22 13 10 13 8 13 10 13 11 13 11 16 3 4 13 7 20 13 10 13 4
3,17,24,8,14,47,3,1,0,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:100|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:84|burau-experiments/src/kernel_db.json,2 13 20 13 10 13 1 4,2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4
3,17,24,16,14,37,3,1,0,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:100|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:84|burau-experiments/src/kernel_db.json,2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4,2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4
3,19,24,21,7,21,3,1,0,paper_bank,braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:78|braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl:62|burau-experiments/src/kernel_db.json,2 13 20 17 13 10 13 4 13 10 13 20 13 20 16 12 8 13 7 11 13,2 13 20 17 13 10 13 4 13 10 13 20 13 20 16 12 8 13 7 11 13 10 13 8
3,22,24,8,14,38,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,4 2 13 20 13 10 13 1,4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1
3,22,24,16,14,42,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1,4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1
3,22,24,22,5,11,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4 2 13 20 13 10,4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1 4 2 13 20 13 10 13 1
3,26,24,8,16,49,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,4 13 11 22 13 21 10 13,4 13 11 22 13 21 10 13 4 13 11 22 13 21 10 13 4 13 11 22 13 21 10 13
3,26,24,16,16,47,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,4 13 11 22 13 21 10 13 4 13 11 22 13 21 10 13,4 13 11 22 13 21 10 13 4 13 11 22 13 21 10 13 4 13 11 22 13 21 10 13
3,29,24,8,16,46,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,4 13 21 20 17 13 10 13,4 13 21 20 17 13 10 13 4 13 21 20 17 13 10 13 4 13 21 20 17 13 10 13
3,29,24,16,16,47,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,4 13 21 20 17 13 10 13 4 13 21 20 17 13 10 13,4 13 21 20 17 13 10 13 4 13 21 20 17 13 10 13 4 13 21 20 17 13 10 13
3,36,24,17,13,40,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,5 13 10 16 13 8 13 20 13 21 10 13 6 8 13 11 13,5 13 10 16 13 8 13 20 13 21 10 13 6 8 13 11 13 10 13 10 13 4 13 10
3,39,24,8,16,39,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,6 8 2 13 11 13 10 13,6 8 2 13 11 13 10 13 6 8 2 13 11 13 10 13 6 8 2 13 11 13 10 13
3,39,24,16,16,44,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,6 8 2 13 11 13 10 13 6 8 2 13 11 13 10 13,6 8 2 13 11 13 10 13 6 8 2 13 11 13 10 13 6 8 2 13 11 13 10 13
3,39,24,19,10,29,3,1,0,kernel_db,burau-experiments/src/kernel_db.json,6 8 2 13 11 13 10 13 6 8 2 13 11 13 10 13 6 8 2,6 8 2 13 11 13 10 13 6 8 2 13 11 13 10 13 6 8 2 13 11 13 10 13
