length,power_projlen,count,reservoir_count
40,1,2359,2359
40,3,362,362
40,4,331,331
40,5,3000,5333
40,6,530,530
40,7,3000,7961
40,8,865,865
40,9,3000,12210
40,10,2870,2870
40,11,3000,13641
40,12,3000,3866
40,13,3000,19312
40,14,3000,9589
40,15,3000,15852
40,16,3000,7056
40,17,3000,23788
40,18,3000,13167
40,19,3000,15524
40,20,3000,8985
40,21,3000,31089
40,22,3000,18600
40,23,3000,11416
40,24,3000,6936
40,25,3000,20635
40,26,3000,10277
40,27,3000,3485
40,28,1589,1589
40,29,3000,9446
40,30,3000,3373
40,31,526,526
40,32,239,239
40,33,1772,1772
40,34,317,317
40,35,42,42
40,36,13,13
40,37,159,159
40,38,22,22
40,39,1,1
40,40,1,1
40,41,11,11
40,42,3,3
40,44,1,1
40,46,1,1
