length,power_projlen,count,reservoir_count
60,1,1878,1878
60,3,1,1
60,4,2,2
60,6,1,1
60,7,148,148
60,8,17,17
60,9,422,422
60,10,111,111
60,11,530,530
60,12,310,310
60,13,1940,1940
60,14,555,555
60,15,2672,2672
60,16,968,968
60,17,2710,2710
60,18,1764,1764
60,19,3000,4844
60,20,2916,2916
60,21,3000,7429
60,22,3000,4585
60,23,3000,6252
60,24,3000,4750
60,25,3000,11508
60,26,3000,10004
60,27,3000,12238
60,28,3000,9102
60,29,3000,7906
60,30,3000,6627
60,31,3000,16767
60,32,3000,15795
60,33,3000,12387
60,34,3000,9566
60,35,3000,4430
60,36,3000,3350
60,37,3000,19658
60,38,3000,13957
60,39,3000,5908
60,40,3000,3229
60,41,1398,1398
60,42,1033,1033
60,43,3000,10147
60,44,3000,5601
60,45,1362,1362
60,46,670,670
60,47,251,251
60,48,205,205
60,49,2839,2839
60,50,1434,1434
60,51,309,309
60,52,123,123
60,53,42,42
60,54,65,65
60,55,1161,1161
60,56,590,590
60,57,23,23
60,58,82,82
60,59,15,15
60,60,11,11
60,61,251,251
60,62,127,127
60,63,9,9
60,64,24,24
60,66,1,1
60,67,49,49
60,68,5,5
60,70,4,4
60,73,5,5
60,79,2,2
60,81,1,1
60,85,2,2
