length,power_projlen,count,reservoir_count
40,1,2379,2379
40,3,338,338
40,4,351,351
40,5,3000,5428
40,6,583,583
40,7,3000,8355
40,8,978,978
40,9,3000,12367
40,10,3000,3219
40,11,3000,13789
40,12,3000,3946
40,13,3000,19221
40,14,3000,9505
40,15,3000,15647
40,16,3000,7017
40,17,3000,23268
40,18,3000,12985
40,19,3000,15610
40,20,3000,8784
40,21,3000,30821
40,22,3000,18678
40,23,3000,11585
40,24,3000,6994
40,25,3000,21186
40,26,3000,10719
40,27,3000,3575
40,28,1630,1630
40,29,3000,9676
40,30,3000,3395
40,31,464,464
40,32,258,258
40,33,1675,1675
40,34,343,343
40,35,24,24
40,36,17,17
40,37,223,223
40,38,64,64
40,39,3,3
40,41,7,7
40,42,3,3
40,43,1,1
40,44,1,1
40,46,1,1
