epoch,gap_brier,gap_correct,gap_cross_entropy,gap_loss,train_brier,train_correct,train_cross_entropy,train_loss,validation_brier,validation_correct,validation_cross_entropy,validation_loss
19,0.0029591526593891436,-0.0011585261237073707,0.012723086516199574,0.012806559441402028,0.013037714681178491,0.9915638197548075,0.026033881702531948,0.027448082696958816,0.015996867340567635,0.9904052936311001,0.03875696821873152,0.040254642138360844
20,0.0028899840511626244,-0.0011482756009307815,0.010525883195818122,0.010642671674368213,0.012957811207013493,0.9915535692320309,0.02554536404867443,0.02690263695535282,0.015847795258176117,0.9904052936311001,0.03607124724449255,0.03754530862972103
21,0.00854126832778255,-0.004306199682354239,0.025216808824945296,0.02577006512470168,0.011932545040983759,0.9922301037352905,0.023885358716799792,0.025170266706761833,0.02047381336876631,0.9879239040529363,0.04910216754174509,0.050940331831463515
22,0.004994148232262538,-0.0028138219168284406,0.012753070839715986,0.013049208732767922,0.011243088884959123,0.992640124646357,0.022035927930692156,0.02323414903589134,0.01623723711722166,0.9898263027295285,0.03478899877040814,0.03628335776865926
23,0.0054940747817539114,-0.0026250596844954455,0.01730250274585067,0.017696608763487286,0.011088762461863669,0.9929476403296568,0.02166029824599018,0.022841647952363372,0.01658283724361758,0.9903225806451613,0.03896280099184085,0.04053825671585066
24,0.0032430967870612382,-0.0014356175092969936,0.013858857197950252,0.014056661768352963,0.0108909891405583,0.9929988929435402,0.02157167866163909,0.022717724467023484,0.014134085927619538,0.9915632754342432,0.03543053585958934,0.03677438623537645
25,0.006958757107788888,-0.003382180762517506,0.022662057654552998,0.02331910774800355,0.009633655898296036,0.9938701873795563,0.01934808017693265,0.020405662354926777,0.016592413006084925,0.9904880066170388,0.04201013783148565,0.04372477010293033
26,0.005935719051442584,-0.0027402691168350035,0.022555644764951237,0.023186465406216435,0.00933099226859914,0.993972692607323,0.018109432618627127,0.019096058742850423,0.015266711320041723,0.991232423490488,0.040665077383578364,0.04228252414906686
27,0.004977744802211205,-0.0025550509031295743,0.018190641788443176,0.018698334356875398,0.009535734938594425,0.9938701873795563,0.018800652289789898,0.01981104195429244,0.01451347974080563,0.9913151364764268,0.036991294078233074,0.03850937631116784
28,0.006311746619408689,-0.0037943280847605454,0.018583965530694507,0.018957166600644962,0.009109753670656457,0.994034195743983,0.017682232516303954,0.01864922384173686,0.015421500290065147,0.9902398676592225,0.03626619804699846,0.03760639044238182
29,0.004898667506091449,-0.002315744860638791,0.01775125335738297,0.018062625317068443,0.009079210555157403,0.9940444462667596,0.017871835029759347,0.01887596642792572,0.013977878061248852,0.9917287014061208,0.035623088387142315,0.03693859174499416
30,0.00837399067969551,-0.0049370977390483795,0.0242765944203467,0.024894094036911566,0.008327083084400489,0.9945979744966993,0.016131871830355998,0.017015073761889866,0.016701073764096,0.9896608767576509,0.0404084662507027,0.04190916779880143
