epoch,gap_brier,gap_correct,gap_cross_entropy,gap_loss,train_brier,train_correct,train_cross_entropy,train_loss,validation_brier,validation_correct,validation_cross_entropy,validation_loss
1,-0.20501710556648217,0.18263019834193506,-0.5381778643619386,-0.554305709157825,0.40190304458163323,0.6842018942966092,0.9185312451694161,0.9537745708371104,0.19688593901515106,0.8668320926385442,0.38035338080747744,0.3994688616792854
2,-0.05846746426076771,0.041421770740249775,-0.11390963948589594,-0.11997371536228002,0.16972302040362047,0.8855426626757965,0.33338691372826235,0.35020674085396136,0.11125555614285276,0.9269644334160463,0.2194772742423664,0.23023302549168134
3,-0.028804568635696526,0.020835829831622465,-0.0578312060673174,-0.06090443353807415,0.12070963329345842,0.9189491164049367,0.23710322037917808,0.2487563726289954,0.0919050646577619,0.9397849462365592,0.17927201431186068,0.18785193909092124
4,-0.028419980841991016,0.019336852391217296,-0.054527303002919664,-0.057146160370376314,0.09319576747650404,0.9393066546393866,0.18414063735262212,0.19317972144429166,0.06477578663451303,0.9586435070306039,0.12961333434970246,0.13603356107391534
5,-0.01983586726212859,0.014144307215747332,-0.03950923213028676,-0.041703109288286244,0.06977668855145455,0.9545901840993891,0.13930310657863232,0.14637208283356895,0.04994082128932596,0.9687344913151364,0.09979387444834556,0.1046689735452827
6,-0.010277669267794387,0.006468519059070865,-0.020830379367989163,-0.022428374375106183,0.05259586053432755,0.9660707696092501,0.10673365431193804,0.1122331424838559,0.04231819126653316,0.972539288668321,0.08590327494394888,0.08980476810874971
7,-0.010235713768609343,0.007435775006163103,-0.017570591172807987,-0.01894403064084886,0.04245333877397879,0.9727131083685268,0.08646363544774,0.09104269293896303,0.03221762500536945,0.9801488833746899,0.06889304427493201,0.07209866229811417
8,-0.006812363395003705,0.005536320069445155,-0.011974954650343497,-0.012904169850905284,0.03437052781617379,0.9778383697568576,0.06975858746517838,0.07343961371042369,0.027558164421170088,0.9833746898263027,0.05778363281483488,0.06053544385951841
9,5.1741502108425264e-05,-5.6266806745308706e-05,0.0007639670317558939,0.00038485242661853714,0.028802013302656256,0.9815285579564558,0.059433005827849966,0.0625452374680852,0.02885375480476468,0.9814722911497105,0.06019697285960586,0.06293008989470374
10,0.00612357900333246,-0.004023273383799486,0.013902004502794593,0.013998453161112527,0.026299518162423475,0.983096887941285,0.05324363548549489,0.056070686004347704,0.032423097165755935,0.9790736145574855,0.06714563998828948,0.07006913916546023
11,-0.00037505359720758566,0.0004991148262374345,0.002312354462473673,0.0020434066962254985,0.023784299760291346,0.9847779736766575,0.04797257364559652,0.05049254272071995,0.02340924616308376,0.985277088502895,0.05028492810807019,0.05253594941694545
12,-0.002404207983422439,0.002227636148732226,2.810707202464957e-05,-0.00037502149817249947,0.021075133311641972,0.9861925458198368,0.04268875778618933,0.044915782511258724,0.018670925328219533,0.9884201819685691,0.04271686485821398,0.044540761013086225
13,8.028870739998015e-05,0.0004405011669657011,0.002782923488145503,0.0026680216316076755,0.019162361860522944,0.9875661158719095,0.03918053191391186,0.04123318256849486,0.019242650567922924,0.9880066170388752,0.04196345540205736,0.04390120420010254
14,0.00232423773895489,-0.001091079549109919,0.008965833498842904,0.009005568983986578,0.017631006805782428,0.9886014186723523,0.03547047768465594,0.03737664231018959,0.019955244544737318,0.9875103391232424,0.04443631118349885,0.04638221129417617
15,0.004194794182773378,-0.001306340527419847,0.014314261171889088,0.014533115799788929,0.017278470810791077,0.9888166796506622,0.03437608721965761,0.036171308003662014,0.021473264993564455,0.9875103391232424,0.0486903483915467,0.05070442380345094
16,0.001603326761205972,-0.0003777415146105634,0.009722381973696965,0.009743063788560671,0.015883940248474733,0.9897904793144451,0.0315111593072463,0.03323124929220618,0.017487267009680705,0.9894127377998345,0.04123354128094327,0.04297431308076685
17,0.0033497285514261163,-0.0013017061719610146,0.01244026585316502,0.012448295705862852,0.014606291233707078,0.990549017999918,0.028860950869306425,0.03045685681265812,0.017956019785133195,0.989247311827957,0.041301216722471445,0.04290515251852097
18,0.0011166916417655656,0.00020762862049050756,0.010232319405499759,0.010181153493180078,0.014139535537748825,0.9905285169543647,0.027437874750925014,0.02892076951804478,0.01525622717951439,0.9907361455748552,0.03767019415642477,0.03910192301122486
