length,power_projlen,count,reservoir_count
30,83,2,2
30,89,2,2
30,97,2,2
30,99,4,4
30,101,5,5
30,102,4,4
30,103,6,6
30,104,2,2
30,105,4,4
30,106,2,2
30,107,4,4
30,109,6,6
30,110,1,1
30,111,13,13
30,112,12,12
30,113,49,49
30,114,8,8
30,115,36,36
30,116,8,8
30,117,22,22
30,118,6,6
30,119,52,52
30,120,3,3
30,121,77,77
30,122,41,41
30,123,158,158
30,124,22,22
30,125,156,156
30,126,33,33
30,127,156,156
30,128,52,52
30,129,191,191
30,130,33,33
30,131,281,281
30,132,194,194
30,133,718,718
30,134,166,166
30,135,805,805
30,136,207,207
30,137,799,799
30,138,163,163
30,139,503,503
30,140,197,197
30,141,1115,1115
30,142,863,863
30,143,3000,3154
30,144,1224,1224
30,145,3000,4542
30,146,634,634
30,147,1774,1774
30,148,778,778
30,149,1558,1558
30,150,231,231
30,151,3000,3434
30,152,3000,5406
30,153,3000,16431
30,154,3000,4408
30,155,3000,8932
30,156,2188,2188
30,157,3000,3382
30,158,1281,1281
30,159,1223,1223
30,160,388,388
30,161,3000,15395
30,162,3000,19106
30,163,3000,25571
30,164,3000,8738
30,165,3000,6598
30,166,1956,1956
30,167,3000,3867
30,168,1561,1561
30,169,1043,1043
30,170,156,156
30,171,3000,26001
30,172,3000,28841
30,173,3000,15554
30,174,3000,3252
30,175,1571,1571
30,176,1608,1608
30,177,1106,1106
30,178,281,281
30,179,98,98
30,180,11,11
30,181,3000,24017
30,182,3000,11294
30,183,3000,6502
30,184,703,703
30,185,140,140
30,186,284,284
30,187,97,97
30,188,29,29
30,190,13,13
30,191,3000,8361
30,192,3000,3933
30,193,982,982
30,194,235,235
30,195,2,2
30,196,5,5
30,201,2299,2299
30,202,1342,1342
30,203,17,17
30,204,13,13
30,211,110,110
30,212,39,39
30,221,12,12
30,222,2,2
30,223,5,5
30,227,4,4
30,228,2,2
30,230,2,2
30,233,26,26
30,234,5,5
30,237,4,4
30,238,3,3
30,240,1,1
30,241,3,3
30,242,2,2
30,244,4,4
30,246,2,2
30,250,4,4
30,252,2,2
30,256,4,4
30,260,4,4
30,262,2,2
30,266,3,3
30,277,3,3
30,279,3,3
30,280,7,7
30,288,5,5
30,291,4,4
30,292,1,1
30,294,2,2
30,295,3,3
30,296,1,1
30,301,2,2
30,302,13,13
30,303,14,14
30,304,23,23
30,305,18,18
30,307,1,1
30,308,6,6
30,311,47,47
30,312,42,42
30,313,4,4
30,314,6,6
30,315,2,2
30,321,7,7
30,322,2,2
30,323,6,6
30,331,20,20
30,332,9,9
30,333,4,4
30,334,20,20
30,335,10,10
30,341,8,8
30,342,23,23
30,344,33,33
30,345,11,11
30,351,20,20
30,352,24,24
30,361,22,22
