control_id,depth,projlen,surprise,surprise_z
0,1,2,0.5253906250000075,0.5253906250000075
0,2,5,-0.07812499999999822,-0.07812499999999822
0,3,7,0.30078125000000533,0.30078125000000533
0,4,10,-0.30859375000000355,-0.295922496960487
0,5,12,0.0937499999999929,0.08034031589792026
0,6,15,-0.5039062499999929,-0.38593686706832536
0,7,17,-0.09765625,-0.07040434363293187
0,8,19,0.3212890625000071,0.21552902981474098
0,9,22,-0.26464843750002487,-0.16532952632722248
0,10,23,1.1298828125000213,0.6774460421732492
0,11,26,0.5585937499999858,0.3221117239218592
0,12,29,-0.06347656250001421,-0.034742724569484865
0,13,31,0.34277343749997513,0.17901507000367253
0,14,34,-0.2412109374999929,-0.12002869725590679
0,15,37,-0.8300781250000284,-0.39681740508385605
0,16,39,-0.4375000000000071,-0.2048096665638519
0,17,41,-0.034179687499992895,-0.01549795104600071
0,18,43,0.3623046874999787,0.15928608958652102
0,19,46,-0.22753906249995026,-0.09666727950700962
0,20,48,0.1787109375,0.07376628405960076
0,21,50,0.5791015625000213,0.23347653229520304
0,22,52,0.9570312499999716,0.37672338389322757
0,23,54,1.342773437500007,0.5159588925864455
0,24,57,0.7207031249999716,0.27169687781899665
0,25,60,0.13964843749996447,0.05176552985404839
0,26,63,-0.44140625000004974,-0.1596057124800326
0,27,66,-1.0205078124999147,-0.36360109060299267
0,28,68,-0.628906249999929,-0.22190520901547323
0,29,70,-0.2431640625001137,-0.08455521936259586
0,30,72,0.16113281249992895,0.054554674921277954
0,31,75,-0.4462890625000142,-0.14709459563017738
0,32,78,-1.0156250000000142,-0.3292540347941335
0,33,81,-1.6035156249999858,-0.5128993338281412
0,34,84,-2.1855468750000995,-0.686557177120993
0,35,87,-2.799804687499872,-0.8728401119139585
0,36,89,-2.364257812499986,-0.732439458333141
0,37,91,-1.9443359374999716,-0.5916579233483806
0,38,94,-2.528320312500071,-0.756882655437951
0,39,97,-3.134765624999929,-0.9275152468910111
0,40,99,-2.737304687500014,-0.799416064815282
0,41,101,-2.3183593749999574,-0.6657848905669631
0,42,103,-1.9111328125001137,-0.5409432680507423
0,43,105,-1.4873046875000426,-0.41751273004628237
0,44,107,-1.0751953125002132,-0.2987653226268
0,45,110,-1.6708984374999574,-0.45575879222073806
0,46,112,-1.2666015624999005,-0.34287177815986636
0,47,114,-0.854492187499929,-0.22987571926285646
0,48,117,-1.4433593749999432,-0.384271591222877
0,49,119,-1.0439453125000995,-0.2753672294818636
0,50,121,-0.6660156250000142,-0.1740482078595765
0,51,123,-0.2626953125000284,-0.06828454162745193
0,52,125,0.12011718749995737,0.030968522004557558
0,53,127,0.49511718749992895,0.1261204160360598
0,54,129,0.908203125,0.22863915041948019
1,1,2,0.5253906250000075,0.5253906250000075
1,2,4,0.9218750000000018,0.9218750000000018
1,3,7,0.30078125000000533,0.30078125000000533
1,4,9,0.6914062499999964,0.663016227367156
1,5,11,1.093749999999993,0.9373036854758013
1,6,13,1.496093750000007,1.1458435665672202
1,7,16,0.90234375,0.6505361351682905
1,8,18,1.321289062500007,0.8863549463201813
1,9,20,1.7353515624999751,1.0840980379462823
1,10,22,2.1298828125000213,1.277017993068145
1,11,25,1.5585937499999858,0.8987592856281393
1,12,28,0.9365234374999858,0.512588813263508
1,13,30,1.3427734374999751,0.7012698611255357
1,14,32,1.758789062500007,0.8751890030684022
1,15,35,1.1699218749999716,0.5592791191652138
1,16,38,0.5624999999999929,0.2633267141535163
1,17,40,0.9658203125000071,0.43792781669994285
1,18,42,1.3623046874999787,0.5989328705477261
1,19,44,1.7724609375000497,0.7530090656878359
1,20,46,2.1787109375,0.8993037144096683
1,21,48,2.5791015625000213,1.039817068788556
1,22,51,1.9570312499999716,0.7703608789000403
1,23,54,1.342773437500007,0.5159588925864455
1,24,56,1.7207031249999716,0.6486854996166438
1,25,59,1.1396484374999645,0.4224501632146011
1,26,62,0.5585937499999503,0.20197891048354036
1,27,64,0.9794921875000853,0.3489874582534582
1,28,67,0.37109375000007105,0.13093785625140605
1,29,69,0.7568359374998863,0.2631738755259892
1,30,71,1.161132812499929,0.39312429382681285
1,31,74,0.5537109374999858,0.18250029698535183
1,32,76,0.9843749999999858,0.3191231414158434
1,33,78,1.3964843750000142,0.44667846977725695
1,34,80,1.8144531249999005,0.5699835724265759
1,35,83,1.200195312500128,0.3741613175941466
1,36,86,0.6357421875000142,0.19695088284795054
1,37,88,1.0556640625000284,0.32123667259649724
1,38,91,0.47167968749992895,0.14120290559152762
1,39,94,-0.13476562499992895,-0.03987448724949998
1,40,97,-0.7373046875000142,-0.2153261251999809
1,41,99,-0.31835937499995737,-0.09142623181331293
1,42,101,0.08886718749988631,0.02515372375705245
1,43,104,-0.48730468750004263,-0.1367950441845746
1,44,107,-1.0751953125002132,-0.2987653226268
1,45,109,-0.6708984374999574,-0.18299607846618068
1,46,112,-1.2666015624999005,-0.34287177815986636
1,47,114,-0.854492187499929,-0.22987571926285646
1,48,116,-0.44335937499994316,-0.11803741706033198
1,49,119,-1.0439453125000995,-0.2753672294818636
1,50,122,-1.6660156250000142,-0.4353757222997562
1,51,124,-1.2626953125000284,-0.32822272239512185
1,52,126,-0.8798828125000426,-0.2268507180985172
1,53,128,-0.504882812500071,-0.12860799820643284
1,54,130,-0.091796875,-0.023109763590786172
2,1,3,-0.47460937499999245,-0.47460937499999245
2,2,6,-1.0781249999999982,-1.0781249999999982
2,3,9,-1.6992187499999947,-1.6992187499999947
2,4,11,-1.3085937500000036,-1.25486122128813
2,5,13,-0.9062500000000071,-0.7766230536799609
2,6,15,-0.5039062499999929,-0.38593686706832536
2,7,18,-1.09765625,-0.7913448224341543
2,8,20,-0.6787109374999929,-0.4552968866906994
2,9,23,-1.2646484375000249,-0.790043308463975
2,10,25,-0.8701171874999787,-0.5216978596165418
2,11,27,-0.4414062500000142,-0.2545358377844209
2,12,30,-1.0634765625000142,-0.5820742624024777
2,13,32,-0.6572265625000249,-0.3432397211181906
2,14,35,-1.241210937499993,-0.6176375474180613
2,15,38,-1.8300781250000284,-0.8748656672083909
2,16,40,-1.437500000000007,-0.6729460472812201
2,17,43,-2.034179687499993,-0.9223494865378878
2,18,46,-2.6376953125000213,-1.1596542532970944
2,19,48,-2.2275390624999503,-0.9463436247018551
2,20,51,-2.8212890625,-1.1645398614655005
2,21,53,-2.4208984374999787,-0.9760342724448262
2,22,55,-2.0429687500000284,-0.8041891011272106
2,23,58,-2.657226562499993,-1.021035743074696
