length,power_projlen,count,reservoir_count
60,1,1459,1459
60,7,77,77
60,8,3,3
60,9,275,275
60,10,80,80
60,11,343,343
60,12,169,169
60,13,1566,1566
60,14,236,236
60,15,1821,1821
60,16,576,576
60,17,2298,2298
60,18,1380,1380
60,19,3000,3830
60,20,1784,1784
60,21,3000,6249
60,22,3000,3374
60,23,3000,5666
60,24,3000,4198
60,25,3000,10281
60,26,3000,8543
60,27,3000,11190
60,28,3000,8073
60,29,3000,8047
60,30,3000,6504
60,31,3000,15740
60,32,3000,13954
60,33,3000,12635
60,34,3000,10386
60,35,3000,6531
60,36,3000,4176
60,37,3000,19519
60,38,3000,14560
60,39,3000,7843
60,40,3000,4506
60,41,1609,1609
60,42,1331,1331
60,43,3000,12159
60,44,3000,7659
60,45,1920,1920
60,46,1042,1042
60,47,374,374
60,48,296,296
60,49,3000,3710
60,50,2124,2124
60,51,346,346
60,52,229,229
60,53,38,38
60,54,102,102
60,55,1763,1763
60,56,757,757
60,57,42,42
60,58,106,106
60,59,18,18
60,60,16,16
60,61,322,322
60,62,120,120
60,63,5,5
60,64,34,34
60,65,1,1
60,66,1,1
60,67,59,59
60,68,24,24
60,69,1,1
60,70,5,5
60,71,1,1
60,73,13,13
60,76,1,1
60,79,5,5
60,80,1,1
