heuristic,length,bucket,count,seen,score
power_projlen,30,"[30, 1]",2000,6859,[1]
power_projlen,30,"[30, 3]",491,491,[3]
power_projlen,30,"[30, 4]",323,323,[4]
power_projlen,30,"[30, 5]",2000,13063,[5]
power_projlen,30,"[30, 6]",792,792,[6]
power_projlen,30,"[30, 7]",2000,20621,[7]
power_projlen,30,"[30, 8]",1745,1745,[8]
power_projlen,30,"[30, 9]",2000,26403,[9]
power_projlen,30,"[30, 10]",2000,5250,[10]
power_projlen,30,"[30, 11]",2000,23456,[11]
power_projlen,30,"[30, 12]",2000,4855,[12]
power_projlen,30,"[30, 13]",2000,25542,[13]
power_projlen,30,"[30, 14]",2000,10567,[14]
power_projlen,30,"[30, 15]",2000,10380,[15]
power_projlen,30,"[30, 16]",2000,2186,[16]
power_projlen,30,"[30, 17]",2000,13855,[17]
power_projlen,30,"[30, 18]",2000,4461,[18]
power_projlen,30,"[30, 19]",1425,1425,[19]
power_projlen,30,"[30, 20]",555,555,[20]
power_projlen,30,"[30, 21]",2000,2764,[21]
power_projlen,30,"[30, 22]",1035,1035,[22]
power_projlen,30,"[30, 23]",184,184,[23]
power_projlen,30,"[30, 24]",122,122,[24]
power_projlen,30,"[30, 25]",295,295,[25]
power_projlen,30,"[30, 26]",156,156,[26]
power_projlen,30,"[30, 27]",46,46,[27]
power_projlen,30,"[30, 28]",47,47,[28]
power_projlen,30,"[30, 29]",2000,16511,[29]
power_projlen,30,"[30, 30]",2000,11116,[30]
power_projlen,30,"[30, 31]",59,59,[31]
power_projlen,30,"[30, 32]",300,300,[32]
power_projlen,30,"[30, 33]",166,166,[33]
power_projlen,30,"[30, 34]",196,196,[34]
power_projlen,30,"[30, 35]",38,38,[35]
power_projlen,30,"[30, 36]",13,13,[36]
power_projlen,30,"[30, 37]",2000,19098,[37]
power_projlen,30,"[30, 38]",2000,12853,[38]
power_projlen,30,"[30, 39]",96,96,[39]
power_projlen,30,"[30, 40]",391,391,[40]
power_projlen,30,"[30, 41]",250,250,[41]
power_projlen,30,"[30, 42]",243,243,[42]
power_projlen,30,"[30, 43]",7,7,[43]
power_projlen,30,"[30, 44]",13,13,[44]
power_projlen,30,"[30, 45]",82,82,[45]
power_projlen,30,"[30, 46]",10,10,[46]
power_projlen,30,"[30, 47]",4,4,[47]
power_projlen,30,"[30, 48]",25,25,[48]
power_projlen,30,"[30, 49]",23,23,[49]
power_projlen,30,"[30, 50]",27,27,[50]
power_projlen,30,"[30, 51]",4,4,[51]
power_projlen,30,"[30, 52]",13,13,[52]
power_projlen,30,"[30, 53]",3,3,[53]
power_projlen,30,"[30, 54]",11,11,[54]
power_projlen,30,"[30, 56]",5,5,[56]
power_projlen,30,"[30, 57]",2,2,[57]
power_projlen,30,"[30, 58]",5,5,[58]
power_projlen,30,"[30, 59]",4,4,[59]
power_projlen,30,"[30, 60]",8,8,[60]
power_projlen,30,"[30, 61]",6,6,[61]
power_projlen,30,"[30, 62]",9,9,[62]
power_projlen,30,"[30, 63]",10,10,[63]
power_projlen,30,"[30, 64]",7,7,[64]
power_projlen,30,"[30, 65]",15,15,[65]
power_projlen,30,"[30, 66]",3,3,[66]
power_projlen,30,"[30, 67]",11,11,[67]
power_projlen,30,"[30, 68]",12,12,[68]
power_projlen,30,"[30, 69]",6,6,[69]
power_projlen,30,"[30, 70]",9,9,[70]
power_projlen,30,"[30, 71]",2,2,[71]
power_projlen,30,"[30, 72]",12,12,[72]
power_projlen,30,"[30, 73]",8,8,[73]
power_projlen,30,"[30, 74]",5,5,[74]
power_projlen,30,"[30, 75]",10,10,[75]
power_projlen,30,"[30, 76]",11,11,[76]
power_projlen,30,"[30, 77]",6,6,[77]
power_projlen,30,"[30, 78]",13,13,[78]
power_projlen,30,"[30, 79]",6,6,[79]
power_projlen,30,"[30, 80]",11,11,[80]
power_projlen,30,"[30, 81]",4,4,[81]
power_projlen,30,"[30, 82]",11,11,[82]
power_projlen,30,"[30, 83]",9,9,[83]
power_projlen,30,"[30, 84]",9,9,[84]
power_projlen,30,"[30, 85]",2,2,[85]
power_projlen,30,"[30, 86]",8,8,[86]
power_projlen,30,"[30, 87]",8,8,[87]
power_projlen,30,"[30, 88]",87,87,[88]
power_projlen,30,"[30, 89]",3,3,[89]
power_projlen,30,"[30, 90]",90,90,[90]
power_projlen,30,"[30, 91]",7,7,[91]
power_projlen,30,"[30, 92]",122,122,[92]
power_projlen,30,"[30, 93]",10,10,[93]
power_projlen,30,"[30, 94]",173,173,[94]
power_projlen,30,"[30, 95]",48,48,[95]
power_projlen,30,"[30, 96]",99,99,[96]
power_projlen,30,"[30, 97]",70,70,[97]
power_projlen,30,"[30, 98]",115,115,[98]
power_projlen,30,"[30, 99]",143,143,[99]
power_projlen,30,"[30, 100]",60,60,[100]
power_projlen,30,"[30, 101]",224,224,[101]
power_projlen,30,"[30, 102]",127,127,[102]
power_projlen,30,"[30, 103]",248,248,[103]
power_projlen,30,"[30, 104]",188,188,[104]
power_projlen,30,"[30, 105]",340,340,[105]
power_projlen,30,"[30, 106]",340,340,[106]
power_projlen,30,"[30, 107]",626,626,[107]
power_projlen,30,"[30, 108]",529,529,[108]
power_projlen,30,"[30, 109]",1050,1050,[109]
power_projlen,30,"[30, 110]",731,731,[110]
power_projlen,30,"[30, 111]",1611,1611,[111]
power_projlen,30,"[30, 112]",1256,1256,[112]
power_projlen,30,"[30, 113]",1274,1274,[113]
power_projlen,30,"[30, 114]",509,509,[114]
power_projlen,30,"[30, 115]",263,263,[115]
power_projlen,30,"[30, 116]",401,401,[116]
power_projlen,30,"[30, 117]",2000,4287,[117]
power_projlen,30,"[30, 118]",685,685,[118]
power_projlen,30,"[30, 119]",92,92,[119]
power_projlen,30,"[30, 120]",30,30,[120]
power_projlen,30,"[30, 121]",49,49,[121]
power_projlen,30,"[30, 122]",69,69,[122]
power_projlen,30,"[30, 123]",31,31,[123]
power_projlen,30,"[30, 124]",21,21,[124]
power_projlen,30,"[30, 125]",40,40,[125]
power_projlen,30,"[30, 126]",35,35,[126]
power_projlen,30,"[30, 127]",13,13,[127]
power_projlen,30,"[30, 128]",8,8,[128]
power_projlen,30,"[30, 129]",45,45,[129]
power_projlen,30,"[30, 130]",11,11,[130]
power_projlen,30,"[30, 132]",14,14,[132]
power_projlen,30,"[30, 133]",11,11,[133]
power_projlen,30,"[30, 134]",45,45,[134]
power_projlen,30,"[30, 136]",183,183,[136]
power_projlen,30,"[30, 137]",7,7,[137]
power_projlen,30,"[30, 138]",128,128,[138]
power_projlen,30,"[30, 139]",2,2,[139]
power_projlen,30,"[30, 140]",1261,1261,[140]
power_projlen,30,"[30, 141]",238,238,[141]
power_projlen,30,"[30, 142]",1715,1715,[142]
power_projlen,30,"[30, 143]",7,7,[143]
power_projlen,30,"[30, 144]",2000,6162,[144]
power_projlen,30,"[30, 145]",829,829,[145]
power_projlen,30,"[30, 146]",2000,7504,[146]
power_projlen,30,"[30, 147]",2,2,[147]
power_projlen,30,"[30, 148]",37,37,[148]
power_projlen,30,"[30, 149]",797,797,[149]
power_projlen,30,"[30, 150]",238,238,[150]
power_projlen,30,"[30, 153]",44,44,[153]
power_projlen,30,"[30, 157]",16,16,[157]
two_level,30,"[30, 1, 0]",327,327,"[1, 0]"
two_level,30,"[30, 1, 4]",2000,2095,"[1, 4]"
two_level,30,"[30, 1, 8]",155,155,"[1, 8]"
two_level,30,"[30, 1, 12]",1966,1966,"[1, 12]"
two_level,30,"[30, 1, 16]",2000,2316,"[1, 16]"
two_level,30,"[30, 3, 0]",187,187,"[3, 0]"
two_level,30,"[30, 3, 4]",230,230,"[3, 4]"
two_level,30,"[30, 3, 8]",68,68,"[3, 8]"
two_level,30,"[30, 3, 12]",6,6,"[3, 12]"
two_level,30,"[30, 4, 4]",323,323,"[4, 4]"
two_level,30,"[30, 5, 0]",542,542,"[5, 0]"
two_level,30,"[30, 5, 4]",2000,4866,"[5, 4]"
two_level,30,"[30, 5, 8]",956,956,"[5, 8]"
two_level,30,"[30, 5, 12]",2000,3154,"[5, 12]"
two_level,30,"[30, 5, 16]",2000,3545,"[5, 16]"
two_level,30,"[30, 6, 4]",792,792,"[6, 4]"
two_level,30,"[30, 7, 4]",2000,11294,"[7, 4]"
two_level,30,"[30, 7, 8]",1386,1386,"[7, 8]"
two_level,30,"[30, 7, 12]",2000,4229,"[7, 12]"
two_level,30,"[30, 7, 16]",2000,3711,"[7, 16]"
two_level,30,"[30, 7, 24]",1,1,"[7, 24]"
two_level,30,"[30, 8, 4]",1370,1370,"[8, 4]"
two_level,30,"[30, 8, 8]",375,375,"[8, 8]"
two_level,30,"[30, 9, 4]",2000,10931,"[9, 4]"
two_level,30,"[30, 9, 8]",2000,6070,"[9, 8]"
two_level,30,"[30, 9, 12]",2000,4448,"[9, 12]"
two_level,30,"[30, 9, 16]",2000,4951,"[9, 16]"
two_level,30,"[30, 9, 20]",3,3,"[9, 20]"
two_level,30,"[30, 10, 4]",2000,3116,"[10, 4]"
two_level,30,"[30, 10, 8]",2000,2134,"[10, 8]"
two_level,30,"[30, 11, 4]",2000,10296,"[11, 4]"
two_level,30,"[30, 11, 8]",2000,7451,"[11, 8]"
two_level,30,"[30, 11, 12]",2000,2199,"[11, 12]"
two_level,30,"[30, 11, 16]",2000,3504,"[11, 16]"
two_level,30,"[30, 11, 20]",6,6,"[11, 20]"
two_level,30,"[30, 12, 8]",2000,4836,"[12, 8]"
two_level,30,"[30, 12, 12]",19,19,"[12, 12]"
two_level,30,"[30, 13, 4]",2000,12514,"[13, 4]"
two_level,30,"[30, 13, 8]",2000,11779,"[13, 8]"
two_level,30,"[30, 13, 12]",649,649,"[13, 12]"
two_level,30,"[30, 13, 16]",576,576,"[13, 16]"
two_level,30,"[30, 13, 24]",24,24,"[13, 24]"
two_level,30,"[30, 14, 8]",2000,10547,"[14, 8]"
two_level,30,"[30, 14, 12]",20,20,"[14, 12]"
two_level,30,"[30, 15, 8]",2000,9888,"[15, 8]"
two_level,30,"[30, 15, 12]",347,347,"[15, 12]"
two_level,30,"[30, 15, 16]",135,135,"[15, 16]"
two_level,30,"[30, 15, 24]",10,10,"[15, 24]"
two_level,30,"[30, 16, 8]",2000,2069,"[16, 8]"
two_level,30,"[30, 16, 12]",116,116,"[16, 12]"
two_level,30,"[30, 16, 16]",1,1,"[16, 16]"
two_level,30,"[30, 17, 8]",2000,13615,"[17, 8]"
two_level,30,"[30, 17, 12]",205,205,"[17, 12]"
two_level,30,"[30, 17, 16]",30,30,"[17, 16]"
two_level,30,"[30, 17, 28]",5,5,"[17, 28]"
two_level,30,"[30, 18, 8]",2000,4310,"[18, 8]"
two_level,30,"[30, 18, 12]",151,151,"[18, 12]"
two_level,30,"[30, 19, 8]",1236,1236,"[19, 8]"
two_level,30,"[30, 19, 12]",176,176,"[19, 12]"
two_level,30,"[30, 19, 16]",5,5,"[19, 16]"
two_level,30,"[30, 19, 28]",8,8,"[19, 28]"
two_level,30,"[30, 20, 12]",555,555,"[20, 12]"
two_level,30,"[30, 21, 8]",2000,2606,"[21, 8]"
two_level,30,"[30, 21, 12]",151,151,"[21, 12]"
two_level,30,"[30, 21, 16]",6,6,"[21, 16]"
two_level,30,"[30, 21, 32]",1,1,"[21, 32]"
two_level,30,"[30, 22, 12]",1033,1033,"[22, 12]"
two_level,30,"[30, 22, 16]",2,2,"[22, 16]"
two_level,30,"[30, 23, 12]",179,179,"[23, 12]"
two_level,30,"[30, 23, 16]",1,1,"[23, 16]"
two_level,30,"[30, 23, 32]",2,2,"[23, 32]"
two_level,30,"[30, 23, 36]",1,1,"[23, 36]"
two_level,30,"[30, 23, 40]",1,1,"[23, 40]"
two_level,30,"[30, 24, 12]",122,122,"[24, 12]"
two_level,30,"[30, 25, 12]",290,290,"[25, 12]"
two_level,30,"[30, 25, 16]",1,1,"[25, 16]"
two_level,30,"[30, 25, 36]",3,3,"[25, 36]"
two_level,30,"[30, 25, 60]",1,1,"[25, 60]"
two_level,30,"[30, 26, 12]",153,153,"[26, 12]"
two_level,30,"[30, 26, 16]",3,3,"[26, 16]"
two_level,30,"[30, 27, 12]",18,18,"[27, 12]"
two_level,30,"[30, 27, 16]",15,15,"[27, 16]"
two_level,30,"[30, 27, 20]",2,2,"[27, 20]"
two_level,30,"[30, 27, 36]",10,10,"[27, 36]"
two_level,30,"[30, 27, 40]",1,1,"[27, 40]"
two_level,30,"[30, 28, 16]",47,47,"[28, 16]"
two_level,30,"[30, 29, 12]",2000,16458,"[29, 12]"
two_level,30,"[30, 29, 16]",37,37,"[29, 16]"
two_level,30,"[30, 29, 20]",1,1,"[29, 20]"
two_level,30,"[30, 29, 40]",11,11,"[29, 40]"
two_level,30,"[30, 29, 48]",4,4,"[29, 48]"
two_level,30,"[30, 30, 16]",2000,11115,"[30, 16]"
two_level,30,"[30, 30, 24]",1,1,"[30, 24]"
two_level,30,"[30, 31, 16]",51,51,"[31, 16]"
two_level,30,"[30, 31, 24]",1,1,"[31, 24]"
two_level,30,"[30, 31, 40]",6,6,"[31, 40]"
two_level,30,"[30, 31, 48]",1,1,"[31, 48]"
two_level,30,"[30, 32, 16]",299,299,"[32, 16]"
two_level,30,"[30, 32, 20]",1,1,"[32, 20]"
two_level,30,"[30, 33, 16]",159,159,"[33, 16]"
two_level,30,"[30, 33, 44]",4,4,"[33, 44]"
two_level,30,"[30, 33, 48]",1,1,"[33, 48]"
two_level,30,"[30, 33, 60]",2,2,"[33, 60]"
two_level,30,"[30, 34, 16]",192,192,"[34, 16]"
two_level,30,"[30, 34, 20]",4,4,"[34, 20]"
two_level,30,"[30, 35, 20]",3,3,"[35, 20]"
two_level,30,"[30, 35, 40]",1,1,"[35, 40]"
two_level,30,"[30, 35, 44]",27,27,"[35, 44]"
two_level,30,"[30, 35, 48]",7,7,"[35, 48]"
two_level,30,"[30, 36, 20]",13,13,"[36, 20]"
two_level,30,"[30, 37, 16]",2000,18962,"[37, 16]"
two_level,30,"[30, 37, 44]",78,78,"[37, 44]"
two_level,30,"[30, 37, 48]",58,58,"[37, 48]"
two_level,30,"[30, 38, 20]",2000,12852,"[38, 20]"
two_level,30,"[30, 38, 36]",1,1,"[38, 36]"
two_level,30,"[30, 39, 24]",1,1,"[39, 24]"
two_level,30,"[30, 39, 44]",87,87,"[39, 44]"
two_level,30,"[30, 39, 48]",5,5,"[39, 48]"
two_level,30,"[30, 39, 52]",3,3,"[39, 52]"
two_level,30,"[30, 40, 20]",390,390,"[40, 20]"
two_level,30,"[30, 40, 36]",1,1,"[40, 36]"
two_level,30,"[30, 41, 20]",193,193,"[41, 20]"
two_level,30,"[30, 41, 24]",1,1,"[41, 24]"
two_level,30,"[30, 41, 36]",1,1,"[41, 36]"
two_level,30,"[30, 41, 48]",51,51,"[41, 48]"
two_level,30,"[30, 41, 52]",2,2,"[41, 52]"
two_level,30,"[30, 41, 60]",2,2,"[41, 60]"
two_level,30,"[30, 42, 20]",228,228,"[42, 20]"
two_level,30,"[30, 42, 24]",15,15,"[42, 24]"
two_level,30,"[30, 43, 48]",3,3,"[43, 48]"
two_level,30,"[30, 43, 52]",4,4,"[43, 52]"
two_level,30,"[30, 44, 24]",13,13,"[44, 24]"
two_level,30,"[30, 45, 20]",79,79,"[45, 20]"
two_level,30,"[30, 45, 48]",1,1,"[45, 48]"
two_level,30,"[30, 45, 60]",2,2,"[45, 60]"
two_level,30,"[30, 46, 24]",10,10,"[46, 24]"
two_level,30,"[30, 47, 44]",3,3,"[47, 44]"
two_level,30,"[30, 47, 48]",1,1,"[47, 48]"
two_level,30,"[30, 48, 24]",24,24,"[48, 24]"
two_level,30,"[30, 48, 44]",1,1,"[48, 44]"
two_level,30,"[30, 49, 24]",15,15,"[49, 24]"
two_level,30,"[30, 49, 48]",4,4,"[49, 48]"
two_level,30,"[30, 49, 52]",2,2,"[49, 52]"
two_level,30,"[30, 49, 60]",2,2,"[49, 60]"
two_level,30,"[30, 50, 24]",25,25,"[50, 24]"
two_level,30,"[30, 50, 44]",2,2,"[50, 44]"
two_level,30,"[30, 51, 44]",2,2,"[51, 44]"
two_level,30,"[30, 51, 48]",1,1,"[51, 48]"
two_level,30,"[30, 51, 64]",1,1,"[51, 64]"
two_level,30,"[30, 52, 28]",11,11,"[52, 28]"
two_level,30,"[30, 52, 48]",2,2,"[52, 48]"
two_level,30,"[30, 53, 48]",1,1,"[53, 48]"
two_level,30,"[30, 53, 60]",2,2,"[53, 60]"
two_level,30,"[30, 54, 28]",11,11,"[54, 28]"
two_level,30,"[30, 56, 28]",5,5,"[56, 28]"
two_level,30,"[30, 57, 60]",2,2,"[57, 60]"
two_level,30,"[30, 58, 28]",5,5,"[58, 28]"
two_level,30,"[30, 59, 60]",2,2,"[59, 60]"
two_level,30,"[30, 59, 64]",2,2,"[59, 64]"
two_level,30,"[30, 60, 32]",8,8,"[60, 32]"
two_level,30,"[30, 61, 60]",6,6,"[61, 60]"
two_level,30,"[30, 62, 32]",8,8,"[62, 32]"
two_level,30,"[30, 62, 60]",1,1,"[62, 60]"
two_level,30,"[30, 63, 60]",6,6,"[63, 60]"
two_level,30,"[30, 63, 64]",2,2,"[63, 64]"
two_level,30,"[30, 63, 68]",2,2,"[63, 68]"
two_level,30,"[30, 64, 32]",1,1,"[64, 32]"
two_level,30,"[30, 64, 60]",6,6,"[64, 60]"
two_level,30,"[30, 65, 60]",9,9,"[65, 60]"
two_level,30,"[30, 65, 64]",6,6,"[65, 64]"
two_level,30,"[30, 66, 32]",1,1,"[66, 32]"
two_level,30,"[30, 66, 64]",2,2,"[66, 64]"
two_level,30,"[30, 67, 64]",11,11,"[67, 64]"
two_level,30,"[30, 68, 36]",2,2,"[68, 36]"
two_level,30,"[30, 68, 64]",10,10,"[68, 64]"
two_level,30,"[30, 69, 64]",5,5,"[69, 64]"
two_level,30,"[30, 69, 68]",1,1,"[69, 68]"
two_level,30,"[30, 70, 36]",3,3,"[70, 36]"
two_level,30,"[30, 70, 64]",6,6,"[70, 64]"
two_level,30,"[30, 71, 68]",2,2,"[71, 68]"
two_level,30,"[30, 72, 36]",4,4,"[72, 36]"
two_level,30,"[30, 72, 68]",8,8,"[72, 68]"
two_level,30,"[30, 73, 68]",6,6,"[73, 68]"
two_level,30,"[30, 73, 72]",2,2,"[73, 72]"
two_level,30,"[30, 74, 36]",4,4,"[74, 36]"
two_level,30,"[30, 74, 40]",1,1,"[74, 40]"
two_level,30,"[30, 75, 68]",3,3,"[75, 68]"
two_level,30,"[30, 75, 72]",7,7,"[75, 72]"
two_level,30,"[30, 76, 40]",11,11,"[76, 40]"
two_level,30,"[30, 77, 68]",2,2,"[77, 68]"
two_level,30,"[30, 77, 72]",4,4,"[77, 72]"
two_level,30,"[30, 78, 40]",11,11,"[78, 40]"
two_level,30,"[30, 78, 72]",2,2,"[78, 72]"
two_level,30,"[30, 79, 40]",1,1,"[79, 40]"
two_level,30,"[30, 79, 72]",5,5,"[79, 72]"
two_level,30,"[30, 80, 40]",11,11,"[80, 40]"
two_level,30,"[30, 81, 40]",2,2,"[81, 40]"
two_level,30,"[30, 81, 72]",2,2,"[81, 72]"
two_level,30,"[30, 82, 40]",11,11,"[82, 40]"
two_level,30,"[30, 83, 72]",9,9,"[83, 72]"
two_level,30,"[30, 84, 44]",8,8,"[84, 44]"
two_level,30,"[30, 84, 72]",1,1,"[84, 72]"
two_level,30,"[30, 85, 72]",2,2,"[85, 72]"
two_level,30,"[30, 86, 44]",8,8,"[86, 44]"
two_level,30,"[30, 87, 44]",2,2,"[87, 44]"
two_level,30,"[30, 87, 72]",6,6,"[87, 72]"
two_level,30,"[30, 88, 44]",84,84,"[88, 44]"
two_level,30,"[30, 88, 52]",1,1,"[88, 52]"
two_level,30,"[30, 88, 72]",2,2,"[88, 72]"
two_level,30,"[30, 89, 72]",3,3,"[89, 72]"
two_level,30,"[30, 90, 44]",85,85,"[90, 44]"
two_level,30,"[30, 90, 48]",5,5,"[90, 48]"
two_level,30,"[30, 91, 48]",2,2,"[91, 48]"
two_level,30,"[30, 91, 72]",5,5,"[91, 72]"
two_level,30,"[30, 92, 48]",122,122,"[92, 48]"
two_level,30,"[30, 93, 68]",2,2,"[93, 68]"
two_level,30,"[30, 93, 72]",8,8,"[93, 72]"
two_level,30,"[30, 94, 48]",121,121,"[94, 48]"
two_level,30,"[30, 94, 52]",42,42,"[94, 52]"
two_level,30,"[30, 94, 72]",10,10,"[94, 72]"
two_level,30,"[30, 95, 48]",4,4,"[95, 48]"
two_level,30,"[30, 95, 68]",5,5,"[95, 68]"
two_level,30,"[30, 95, 72]",39,39,"[95, 72]"
two_level,30,"[30, 96, 48]",78,78,"[96, 48]"
two_level,30,"[30, 96, 56]",2,2,"[96, 56]"
two_level,30,"[30, 96, 68]",2,2,"[96, 68]"
two_level,30,"[30, 96, 72]",17,17,"[96, 72]"
two_level,30,"[30, 97, 48]",6,6,"[97, 48]"
two_level,30,"[30, 97, 52]",1,1,"[97, 52]"
two_level,30,"[30, 97, 68]",11,11,"[97, 68]"
two_level,30,"[30, 97, 72]",52,52,"[97, 72]"
two_level,30,"[30, 98, 48]",76,76,"[98, 48]"
two_level,30,"[30, 98, 52]",10,10,"[98, 52]"
two_level,30,"[30, 98, 68]",2,2,"[98, 68]"
two_level,30,"[30, 98, 72]",27,27,"[98, 72]"
two_level,30,"[30, 99, 48]",43,43,"[99, 48]"
two_level,30,"[30, 99, 52]",1,1,"[99, 52]"
two_level,30,"[30, 99, 68]",11,11,"[99, 68]"
two_level,30,"[30, 99, 72]",88,88,"[99, 72]"
two_level,30,"[30, 100, 52]",20,20,"[100, 52]"
two_level,30,"[30, 100, 68]",2,2,"[100, 68]"
two_level,30,"[30, 100, 72]",38,38,"[100, 72]"
two_level,30,"[30, 101, 48]",85,85,"[101, 48]"
two_level,30,"[30, 101, 68]",13,13,"[101, 68]"
two_level,30,"[30, 101, 72]",126,126,"[101, 72]"
two_level,30,"[30, 102, 52]",18,18,"[102, 52]"
two_level,30,"[30, 102, 56]",2,2,"[102, 56]"
two_level,30,"[30, 102, 68]",39,39,"[102, 68]"
two_level,30,"[30, 102, 72]",68,68,"[102, 72]"
two_level,30,"[30, 103, 52]",7,7,"[103, 52]"
two_level,30,"[30, 103, 68]",45,45,"[103, 68]"
two_level,30,"[30, 103, 72]",196,196,"[103, 72]"
two_level,30,"[30, 104, 68]",55,55,"[104, 68]"
two_level,30,"[30, 104, 72]",133,133,"[104, 72]"
two_level,30,"[30, 105, 52]",14,14,"[105, 52]"
two_level,30,"[30, 105, 68]",36,36,"[105, 68]"
two_level,30,"[30, 105, 72]",290,290,"[105, 72]"
two_level,30,"[30, 106, 68]",80,80,"[106, 68]"
two_level,30,"[30, 106, 72]",260,260,"[106, 72]"
two_level,30,"[30, 107, 52]",2,2,"[107, 52]"
two_level,30,"[30, 107, 68]",40,40,"[107, 68]"
two_level,30,"[30, 107, 72]",583,583,"[107, 72]"
two_level,30,"[30, 107, 76]",1,1,"[107, 76]"
two_level,30,"[30, 108, 56]",2,2,"[108, 56]"
two_level,30,"[30, 108, 68]",79,79,"[108, 68]"
two_level,30,"[30, 108, 72]",446,446,"[108, 72]"
two_level,30,"[30, 108, 76]",2,2,"[108, 76]"
two_level,30,"[30, 109, 52]",5,5,"[109, 52]"
two_level,30,"[30, 109, 68]",73,73,"[109, 68]"
two_level,30,"[30, 109, 72]",972,972,"[109, 72]"
two_level,30,"[30, 110, 72]",716,716,"[110, 72]"
two_level,30,"[30, 110, 76]",15,15,"[110, 76]"
