length,power_projlen,count,reservoir_count
30,35,1,1
30,71,3,3
30,83,2,2
30,89,2,2
30,97,2,2
30,99,4,4
30,101,5,5
30,102,5,5
30,103,8,8
30,104,2,2
30,105,3,3
30,106,2,2
30,107,7,7
30,108,2,2
30,109,6,6
30,110,3,3
30,111,17,17
30,112,13,13
30,113,49,49
30,114,6,6
30,115,35,35
30,116,10,10
30,117,27,27
30,118,13,13
30,119,65,65
30,120,10,10
30,121,88,88
30,122,51,51
30,123,149,149
30,124,32,32
30,125,164,164
30,126,70,70
30,127,201,201
30,128,93,93
30,129,220,220
30,130,42,42
30,131,271,271
30,132,224,224
30,133,681,681
30,134,278,278
30,135,907,907
30,136,392,392
30,137,855,855
30,138,223,223
30,139,513,513
30,140,217,217
30,141,1039,1039
30,142,1179,1179
30,143,3000,3317
30,144,1865,1865
30,145,3000,4772
30,146,1086,1086
30,147,1747,1747
30,148,870,870
30,149,1325,1325
30,150,288,288
30,151,3000,3903
30,152,3000,6888
30,153,3000,16888
30,154,3000,5873
30,155,3000,8169
30,156,3000,3080
30,157,2600,2600
30,158,1287,1287
30,159,958,958
30,160,400,400
30,161,3000,16620
30,162,3000,21508
30,163,3000,24050
30,164,3000,9858
30,165,3000,5188
30,166,3000,4129
30,167,3000,3081
30,168,1454,1454
30,169,784,784
30,170,340,340
30,171,3000,26051
30,172,3000,27857
30,173,3000,11602
30,174,3000,7647
30,175,1159,1159
30,176,1487,1487
30,177,816,816
30,178,413,413
30,179,71,71
30,180,14,14
30,181,3000,22581
30,182,3000,16156
30,183,3000,4729
30,184,1382,1382
30,185,121,121
30,186,239,239
30,187,52,52
30,188,26,26
30,190,10,10
30,191,3000,14856
30,192,3000,4545
30,193,772,772
30,194,225,225
30,195,4,4
30,196,2,2
30,198,2,2
30,201,2989,2989
30,202,1094,1094
30,203,9,9
30,204,6,6
30,211,167,167
30,212,28,28
30,221,4,4
30,222,2,2
30,223,3,3
30,227,2,2
30,228,2,2
30,233,15,15
30,234,3,3
30,237,3,3
30,238,3,3
30,240,1,1
30,241,1,1
30,242,2,2
30,244,4,4
30,246,3,3
30,250,4,4
30,252,3,3
30,256,3,3
30,260,4,4
30,262,2,2
30,266,3,3
30,270,1,1
30,277,1,1
30,279,2,2
30,280,8,8
30,288,4,4
30,291,3,3
30,292,1,1
30,294,3,3
30,295,2,2
30,296,1,1
30,301,3,3
30,302,12,12
30,303,16,16
30,304,21,21
30,305,20,20
30,306,1,1
30,307,2,2
30,308,6,6
30,311,40,40
30,312,43,43
30,313,2,2
30,314,4,4
30,315,2,2
30,321,6,6
30,322,1,1
30,323,6,6
30,324,1,1
30,331,19,19
30,332,3,3
30,333,5,5
30,334,13,13
30,335,5,5
30,341,10,10
30,342,13,13
30,344,20,20
30,345,10,10
30,351,10,10
30,352,9,9
30,361,20,20
