length,power_projlen,count,reservoir_count
30,83,1,1
30,89,1,1
30,97,1,1
30,99,3,3
30,101,7,7
30,102,4,4
30,103,10,10
30,104,2,2
30,105,3,3
30,106,1,1
30,107,4,4
30,109,4,4
30,110,2,2
30,111,12,12
30,112,10,10
30,113,40,40
30,114,4,4
30,115,26,26
30,116,5,5
30,117,17,17
30,118,9,9
30,119,69,69
30,120,7,7
30,121,71,71
30,122,38,38
30,123,121,121
30,124,21,21
30,125,141,141
30,126,56,56
30,127,200,200
30,128,82,82
30,129,203,203
30,130,44,44
30,131,245,245
30,132,174,174
30,133,537,537
30,134,223,223
30,135,833,833
30,136,418,418
30,137,855,855
30,138,250,250
30,139,529,529
30,140,187,187
30,141,879,879
30,142,944,944
30,143,3000,3019
30,144,1737,1737
30,145,3000,4536
30,146,1161,1161
30,147,1716,1716
30,148,854,854
30,149,1207,1207
30,150,271,271
30,151,3000,3547
30,152,3000,6542
30,153,3000,15740
30,154,3000,5495
30,155,3000,8007
30,156,2927,2927
30,157,2711,2711
30,158,1120,1120
30,159,1042,1042
30,160,378,378
30,161,3000,16270
30,162,3000,21421
30,163,3000,23575
30,164,3000,9365
30,165,3000,5315
30,166,3000,4174
30,167,2832,2832
30,168,1335,1335
30,169,777,777
30,170,372,372
30,171,3000,25915
30,172,3000,28763
30,173,3000,11482
30,174,3000,8004
30,175,1123,1123
30,176,1042,1042
30,177,688,688
30,178,444,444
30,179,42,42
30,180,16,16
30,181,3000,22705
30,182,3000,17885
30,183,3000,4131
30,184,1269,1269
30,185,171,171
30,186,161,161
30,187,40,40
30,188,32,32
30,190,11,11
30,191,3000,15366
30,192,3000,5225
30,193,760,760
30,194,256,256
30,195,5,5
30,196,6,6
30,198,2,2
30,201,2879,2879
30,202,1337,1337
30,203,26,26
30,204,8,8
30,211,177,177
30,212,32,32
30,221,5,5
30,222,2,2
30,223,2,2
30,227,4,4
30,228,2,2
30,233,19,19
30,234,6,6
30,237,3,3
30,238,3,3
30,240,1,1
30,241,2,2
30,242,2,2
30,244,4,4
30,246,2,2
30,250,1,1
30,252,2,2
30,254,1,1
30,256,5,5
30,260,4,4
30,262,1,1
30,266,4,4
30,274,1,1
30,277,1,1
30,279,3,3
30,280,8,8
30,281,1,1
30,282,1,1
30,286,1,1
30,288,4,4
30,291,2,2
30,292,2,2
30,294,3,3
30,295,4,4
30,296,1,1
30,301,2,2
30,302,13,13
30,303,23,23
30,304,19,19
30,305,15,15
30,307,2,2
30,308,7,7
30,311,38,38
30,312,35,35
30,313,3,3
30,314,1,1
30,315,1,1
30,321,5,5
30,322,1,1
30,323,6,6
30,331,16,16
30,332,3,3
30,333,3,3
30,334,17,17
30,335,9,9
30,341,6,6
30,342,12,12
30,344,18,18
30,345,13,13
30,351,18,18
30,352,14,14
30,361,26,26
