length,power_projlen,count,reservoir_count
60,1,1540,1540
60,7,81,81
60,8,3,3
60,9,229,229
60,10,18,18
60,11,314,314
60,12,177,177
60,13,1171,1171
60,14,302,302
60,15,1333,1333
60,16,428,428
60,17,2006,2006
60,18,966,966
60,19,3000,3729
60,20,1333,1333
60,21,3000,4500
60,22,2509,2509
60,23,3000,5363
60,24,3000,4069
60,25,3000,7126
60,26,3000,5617
60,27,3000,11915
60,28,3000,10446
60,29,3000,9221
60,30,3000,7727
60,31,3000,15147
60,32,3000,17990
60,33,3000,13950
60,34,3000,10965
60,35,3000,6831
60,36,3000,6031
60,37,3000,22443
60,38,3000,17192
60,39,3000,6823
60,40,3000,4728
60,41,1973,1973
60,42,1578,1578
60,43,3000,13007
60,44,3000,7716
60,45,2041,2041
60,46,1014,1014
60,47,455,455
60,48,273,273
60,49,3000,4242
60,50,2046,2046
60,51,412,412
60,52,247,247
60,53,43,43
60,54,106,106
60,55,1583,1583
60,56,731,731
60,57,50,50
60,58,124,124
60,59,2,2
60,60,25,25
60,61,286,286
60,62,275,275
60,63,9,9
60,64,31,31
60,65,7,7
60,67,26,26
60,68,59,59
60,69,3,3
60,70,5,5
60,71,2,2
60,73,24,24
60,74,4,4
60,79,9,9
