prime,word_index,kernel_length,prefix_length,precursor_projlen,precursor_identity_defect,power,power_projlen,power_identity_defect,kernel_word_digest,precursor_word_digest,sources,precursor_factor_ids,kernel_factor_ids
3,21,24,8,16,54,3,1,0,a097179539aea755d298710b80e1a5b5a673edc7,318392dd5d8b065f764e62ac0e78612b5f3b6b01,burau-experiments/src/kernel_db.json,13 4 13 11 22 13 21 10,13 4 13 11 22 13 21 10 13 4 13 11 22 13 21 10 13 4 13 11 22 13 21 10
3,21,24,16,16,52,3,1,0,a097179539aea755d298710b80e1a5b5a673edc7,b430d9ec05fddf8c61aa3c6a960dbad5162fd918,burau-experiments/src/kernel_db.json,13 4 13 11 22 13 21 10 13 4 13 11 22 13 21 10,13 4 13 11 22 13 21 10 13 4 13 11 22 13 21 10 13 4 13 11 22 13 21 10
3,24,24,3,7,19,3,1,0,bd3ee571b70a30dde29d6d54faee4047d6c6f17c,c7504ef99e1846425562c03b632fe715ac6ea65d,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,13 4 13,13 4 13 20 13 10 16 13 8 13 21 21 11 13 10 13 4 13 7 11 13 10 2 2
3,25,24,3,7,21,3,1,0,97e10f3516a76c114530c04c35302e9ac44fe292,35bd25d464875d6f2980dca644c38d6932978426,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,13 8 13,13 8 13 11 13 10 16 13 4 13 21 21 20 13 10 13 8 13 7 20 13 10 2 2
3,28,24,3,7,19,3,1,0,2f97bfd3f64cad18cdad3f7079fd6757a3b1ac2e,c7504ef99e1846425562c03b632fe715ac6ea65d,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,13 4 13,13 4 13 20 13 10 2 13 8 16 13 7 11 13 10 13 4 13 21 11 13 7 10 16
3,29,24,3,7,21,3,1,0,1d76e72e649f41732c8ac800fb268922a5e92c77,35bd25d464875d6f2980dca644c38d6932978426,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,13 8 13,13 8 13 11 13 10 2 13 4 16 13 7 20 13 10 13 8 13 21 20 13 7 10 16
3,34,24,3,7,18,3,1,0,540636f6eb3603ed4b0d4ec0ab801c79b21ca361,c8a865e4997be71fbf4bda5cf9242764939b9ac6,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,10 13 4,10 13 4 16 13 11 13 10 13 8 2 2 13 20 13 7 10 13 8 13 20 13 21 21
3,35,24,3,7,17,3,1,0,ae0002b591958e03f700b474e37844d794dfd628,a5b7aa637d65da3c517fc7608de9e2014186515b,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,10 13 8,10 13 8 16 13 20 13 10 13 4 2 2 13 11 13 7 10 13 4 13 11 13 21 21
3,36,24,3,7,17,3,1,0,b215f388e8c7da62fa4ea51e25214c7c892bb3b1,a5b7aa637d65da3c517fc7608de9e2014186515b,burau-experiments/src/kernel_db.json,10 13 8,10 13 8 13 20 17 13 21 10 13 8 13 20 17 13 21 10 13 8 13 20 17 13 21
3,36,24,8,16,49,3,1,0,b215f388e8c7da62fa4ea51e25214c7c892bb3b1,0f2446fabbecd43d8da2ea4d85c6398189267231,burau-experiments/src/kernel_db.json,10 13 8 13 20 17 13 21,10 13 8 13 20 17 13 21 10 13 8 13 20 17 13 21 10 13 8 13 20 17 13 21
3,36,24,16,16,41,3,1,0,b215f388e8c7da62fa4ea51e25214c7c892bb3b1,6ab4762112ea265c510d15b1f0d0d5ce15e9880e,burau-experiments/src/kernel_db.json,10 13 8 13 20 17 13 21 10 13 8 13 20 17 13 21,10 13 8 13 20 17 13 21 10 13 8 13 20 17 13 21 10 13 8 13 20 17 13 21
3,45,24,8,14,51,3,1,0,b88a79cbb603aa4ae25fd840533fa05ee59d46a3,ab7e4ce0be1e8a089d9cf5ea9617a22781226573,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,21 10 13 4 13 11 22 13,21 10 13 4 13 11 22 13 21 10 13 4 13 11 22 13 21 10 13 4 13 11 22 13
3,45,24,16,14,39,3,1,0,b88a79cbb603aa4ae25fd840533fa05ee59d46a3,50cdbe619a0b23cfddb481300984528b948b4101,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,21 10 13 4 13 11 22 13 21 10 13 4 13 11 22 13,21 10 13 4 13 11 22 13 21 10 13 4 13 11 22 13 21 10 13 4 13 11 22 13
3,45,24,22,5,9,3,1,0,b88a79cbb603aa4ae25fd840533fa05ee59d46a3,5ea244c6e8d83df9d8cf5b5ae180088e10488483,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,21 10 13 4 13 11 22 13 21 10 13 4 13 11 22 13 21 10 13 4 13 11,21 10 13 4 13 11 22 13 21 10 13 4 13 11 22 13 21 10 13 4 13 11 22 13
3,46,24,8,14,47,3,1,0,5f446e99a2460dd3c8264f1a48950d47b8cffeb2,cd0fd3694b54d4f24343a74dfb6b3f5ba6b58c0e,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,21 10 13 8 13 20 17 13,21 10 13 8 13 20 17 13 21 10 13 8 13 20 17 13 21 10 13 8 13 20 17 13
3,46,24,16,14,37,3,1,0,5f446e99a2460dd3c8264f1a48950d47b8cffeb2,7faac07adcf097f32e9425314315eaa082085920,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,21 10 13 8 13 20 17 13 21 10 13 8 13 20 17 13,21 10 13 8 13 20 17 13 21 10 13 8 13 20 17 13 21 10 13 8 13 20 17 13
3,46,24,22,5,9,3,1,0,5f446e99a2460dd3c8264f1a48950d47b8cffeb2,fad793393594cc5314be766af10d4110ecff17f6,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,21 10 13 8 13 20 17 13 21 10 13 8 13 20 17 13 21 10 13 8 13 20,21 10 13 8 13 20 17 13 21 10 13 8 13 20 17 13 21 10 13 8 13 20 17 13
3,49,24,1,4,7,3,1,0,3e74b09f1c84bb6a26f3cc9fba4dcdba7d98c557,017b8eb844dab061e9f59139c768b7604775262b,burau-experiments/src/kernel_db.json,15,15 21 10 13 8 13 20 13 7 10 16 13 4 2 13 11 13 10 13 8 16 13 7 10
3,50,24,1,4,6,3,1,0,328998e4f54137a90de800a19731fb4da9550ed7,49534dfdc210b9c6555711fc3d2cad114ce99ea0,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,19,19 21 10 13 4 13 11 13 7 10 16 13 8 2 13 20 13 10 13 4 16 13 7 10
3,52,24,1,4,7,3,1,0,fc977f776ad820762bf755d8c6190be7abd48d71,017b8eb844dab061e9f59139c768b7604775262b,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,15,15 10 13 8 13 7 20 13 10 2 2 13 8 13 11 13 10 16 13 4 13 21 21 10
3,53,24,1,4,6,3,1,0,37fb7aab4cbc10e5e301eae175f2922607af91cf,49534dfdc210b9c6555711fc3d2cad114ce99ea0,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,19,19 10 13 4 13 7 11 13 10 2 2 13 4 13 20 13 10 16 13 8 13 21 21 10
3,54,24,1,4,6,3,1,0,0e5696f34daca6bb50c4e2e1e1e8fe3cb1b04393,6a5bf6e68f2f29a76063631d3948239674925d43,burau-experiments/src/kernel_db.json,20,20 16 12 8 13 11 13 10 13 10 13 8 13 20 17 13 10 2 13 4 13 20 13 7
3,54,24,2,5,9,3,1,0,0e5696f34daca6bb50c4e2e1e1e8fe3cb1b04393,4716251fcf3e8d77a7cef2387c09f161001f9be4,burau-experiments/src/kernel_db.json,20 16,20 16 12 8 13 11 13 10 13 10 13 8 13 20 17 13 10 2 13 4 13 20 13 7
3,55,24,1,4,6,3,1,0,dab033df40b30dedcb6b0f39ef5ff5de9b47f64f,3ad009a144b1e8e065a75ca775c76b2fc2e5ff76,burau-experiments/src/kernel_db.json,11,11 16 3 4 13 20 13 10 13 10 13 4 13 11 22 13 10 2 13 8 13 11 13 7
3,55,24,2,5,9,3,1,0,dab033df40b30dedcb6b0f39ef5ff5de9b47f64f,8b8ee953bb80546b58e8a4b473a0d2583a059b54,burau-experiments/src/kernel_db.json,11 16,11 16 3 4 13 20 13 10 13 10 13 4 13 11 22 13 10 2 13 8 13 11 13 7
3,60,24,1,4,6,3,1,0,728f2051a68188b06ab15e290ac5a0f6650a5f42,49534dfdc210b9c6555711fc3d2cad114ce99ea0,burau-experiments/src/kernel_db.json,19,19 21 10 13 8 13 20 17 13 21 10 13 8 13 20 17 13 21 10 13 8 13 20 16
3,60,24,22,5,10,3,1,0,728f2051a68188b06ab15e290ac5a0f6650a5f42,f69041df29a85d237ed42876d9553424a9cdc7bb,burau-experiments/src/kernel_db.json,19 21 10 13 8 13 20 17 13 21 10 13 8 13 20 17 13 21 10 13 8 13,19 21 10 13 8 13 20 17 13 21 10 13 8 13 20 17 13 21 10 13 8 13 20 16
3,61,24,1,4,6,3,1,0,5a82b696dafa2d2f8d637b2ebc7c3b874094b535,3ad009a144b1e8e065a75ca775c76b2fc2e5ff76,braids-summer-research/results/paper_exact_search/kernel_bank/p3_paper_kernels.jsonl|burau-experiments/src/kernel_db.json,11,11 13 21 10 13 4 13 11 13 7 10 16 13 8 2 13 20 13 10 13 4 16 13 7
3,62,24,1,4,6,3,1,0,0426d0ea11eaa562fecd246c4fdc9e84494f5c19,6a5bf6e68f2f29a76063631d3948239674925d43,burau-experiments/src/kernel_db.json,20,20 13 21 10 13 8 13 20 13 7 10 16 13 4 2 13 11 13 10 13 8 16 13 7
