length,power_projlen,count,reservoir_count
40,1,2392,2392
40,3,295,295
40,4,348,348
40,5,3000,5489
40,6,551,551
40,7,3000,7703
40,8,891,891
40,9,3000,11797
40,10,2680,2680
40,11,3000,13640
40,12,3000,3868
40,13,3000,19362
40,14,3000,9332
40,15,3000,16106
40,16,3000,7064
40,17,3000,23605
40,18,3000,13579
40,19,3000,15569
40,20,3000,8985
40,21,3000,31426
40,22,3000,19171
40,23,3000,11151
40,24,3000,6835
40,25,3000,21004
40,26,3000,10269
40,27,3000,3485
40,28,1658,1658
40,29,3000,9300
40,30,3000,3075
40,31,491,491
40,32,234,234
40,33,1722,1722
40,34,334,334
40,35,31,31
40,36,17,17
40,37,149,149
40,38,25,25
40,39,4,4
40,40,1,1
40,41,17,17
40,42,4,4
40,44,1,1
40,46,2,2
