heuristic,length,bucket,count,seen,score
power_projlen,30,"[30, 1]",2000,6838,[1]
power_projlen,30,"[30, 3]",495,495,[3]
power_projlen,30,"[30, 4]",365,365,[4]
power_projlen,30,"[30, 5]",2000,13601,[5]
power_projlen,30,"[30, 6]",880,880,[6]
power_projlen,30,"[30, 7]",2000,21323,[7]
power_projlen,30,"[30, 8]",1891,1891,[8]
power_projlen,30,"[30, 9]",2000,27032,[9]
power_projlen,30,"[30, 10]",2000,5749,[10]
power_projlen,30,"[30, 11]",2000,22928,[11]
power_projlen,30,"[30, 12]",2000,4899,[12]
power_projlen,30,"[30, 13]",2000,25077,[13]
power_projlen,30,"[30, 14]",2000,10194,[14]
power_projlen,30,"[30, 15]",2000,10082,[15]
power_projlen,30,"[30, 16]",2000,2072,[16]
power_projlen,30,"[30, 17]",2000,13648,[17]
power_projlen,30,"[30, 18]",2000,4365,[18]
power_projlen,30,"[30, 19]",1343,1343,[19]
power_projlen,30,"[30, 20]",581,581,[20]
power_projlen,30,"[30, 21]",2000,2415,[21]
power_projlen,30,"[30, 22]",1050,1050,[22]
power_projlen,30,"[30, 23]",124,124,[23]
power_projlen,30,"[30, 24]",112,112,[24]
power_projlen,30,"[30, 25]",251,251,[25]
power_projlen,30,"[30, 26]",148,148,[26]
power_projlen,30,"[30, 27]",46,46,[27]
power_projlen,30,"[30, 28]",59,59,[28]
power_projlen,30,"[30, 29]",2000,16861,[29]
power_projlen,30,"[30, 30]",2000,11374,[30]
power_projlen,30,"[30, 31]",40,40,[31]
power_projlen,30,"[30, 32]",334,334,[32]
power_projlen,30,"[30, 33]",193,193,[33]
power_projlen,30,"[30, 34]",237,237,[34]
power_projlen,30,"[30, 35]",54,54,[35]
power_projlen,30,"[30, 36]",5,5,[36]
power_projlen,30,"[30, 37]",2000,19354,[37]
power_projlen,30,"[30, 38]",2000,13161,[38]
power_projlen,30,"[30, 39]",96,96,[39]
power_projlen,30,"[30, 40]",385,385,[40]
power_projlen,30,"[30, 41]",222,222,[41]
power_projlen,30,"[30, 42]",221,221,[42]
power_projlen,30,"[30, 43]",9,9,[43]
power_projlen,30,"[30, 44]",21,21,[44]
power_projlen,30,"[30, 45]",91,91,[45]
power_projlen,30,"[30, 46]",17,17,[46]
power_projlen,30,"[30, 47]",2,2,[47]
power_projlen,30,"[30, 48]",16,16,[48]
power_projlen,30,"[30, 49]",14,14,[49]
power_projlen,30,"[30, 50]",20,20,[50]
power_projlen,30,"[30, 51]",3,3,[51]
power_projlen,30,"[30, 52]",9,9,[52]
power_projlen,30,"[30, 53]",2,2,[53]
power_projlen,30,"[30, 54]",12,12,[54]
power_projlen,30,"[30, 55]",3,3,[55]
power_projlen,30,"[30, 56]",1,1,[56]
power_projlen,30,"[30, 57]",2,2,[57]
power_projlen,30,"[30, 58]",1,1,[58]
power_projlen,30,"[30, 59]",4,4,[59]
power_projlen,30,"[30, 60]",18,18,[60]
power_projlen,30,"[30, 61]",6,6,[61]
power_projlen,30,"[30, 62]",18,18,[62]
power_projlen,30,"[30, 63]",10,10,[63]
power_projlen,30,"[30, 64]",9,9,[64]
power_projlen,30,"[30, 65]",14,14,[65]
power_projlen,30,"[30, 66]",4,4,[66]
power_projlen,30,"[30, 67]",10,10,[67]
power_projlen,30,"[30, 68]",12,12,[68]
power_projlen,30,"[30, 69]",6,6,[69]
power_projlen,30,"[30, 70]",8,8,[70]
power_projlen,30,"[30, 71]",3,3,[71]
power_projlen,30,"[30, 72]",12,12,[72]
power_projlen,30,"[30, 73]",8,8,[73]
power_projlen,30,"[30, 74]",3,3,[74]
power_projlen,30,"[30, 75]",7,7,[75]
power_projlen,30,"[30, 76]",7,7,[76]
power_projlen,30,"[30, 77]",6,6,[77]
power_projlen,30,"[30, 78]",9,9,[78]
power_projlen,30,"[30, 79]",6,6,[79]
power_projlen,30,"[30, 80]",10,10,[80]
power_projlen,30,"[30, 81]",2,2,[81]
power_projlen,30,"[30, 82]",11,11,[82]
power_projlen,30,"[30, 83]",9,9,[83]
power_projlen,30,"[30, 84]",8,8,[84]
power_projlen,30,"[30, 85]",2,2,[85]
power_projlen,30,"[30, 86]",7,7,[86]
power_projlen,30,"[30, 87]",8,8,[87]
power_projlen,30,"[30, 88]",18,18,[88]
power_projlen,30,"[30, 89]",5,5,[89]
power_projlen,30,"[30, 90]",20,20,[90]
power_projlen,30,"[30, 91]",9,9,[91]
power_projlen,30,"[30, 92]",133,133,[92]
power_projlen,30,"[30, 93]",9,9,[93]
power_projlen,30,"[30, 94]",180,180,[94]
power_projlen,30,"[30, 95]",48,48,[95]
power_projlen,30,"[30, 96]",97,97,[96]
power_projlen,30,"[30, 97]",69,69,[97]
power_projlen,30,"[30, 98]",122,122,[98]
power_projlen,30,"[30, 99]",136,136,[99]
power_projlen,30,"[30, 100]",57,57,[100]
power_projlen,30,"[30, 101]",206,206,[101]
power_projlen,30,"[30, 102]",93,93,[102]
power_projlen,30,"[30, 103]",237,237,[103]
power_projlen,30,"[30, 104]",199,199,[104]
power_projlen,30,"[30, 105]",339,339,[105]
power_projlen,30,"[30, 106]",352,352,[106]
power_projlen,30,"[30, 107]",613,613,[107]
power_projlen,30,"[30, 108]",570,570,[108]
power_projlen,30,"[30, 109]",1060,1060,[109]
power_projlen,30,"[30, 110]",792,792,[110]
power_projlen,30,"[30, 111]",1485,1485,[111]
power_projlen,30,"[30, 112]",1292,1292,[112]
power_projlen,30,"[30, 113]",1295,1295,[113]
power_projlen,30,"[30, 114]",551,551,[114]
power_projlen,30,"[30, 115]",309,309,[115]
power_projlen,30,"[30, 116]",353,353,[116]
power_projlen,30,"[30, 117]",2000,4316,[117]
power_projlen,30,"[30, 118]",562,562,[118]
power_projlen,30,"[30, 119]",244,244,[119]
power_projlen,30,"[30, 120]",29,29,[120]
power_projlen,30,"[30, 121]",31,31,[121]
power_projlen,30,"[30, 122]",58,58,[122]
power_projlen,30,"[30, 123]",42,42,[123]
power_projlen,30,"[30, 124]",21,21,[124]
power_projlen,30,"[30, 125]",40,40,[125]
power_projlen,30,"[30, 126]",32,32,[126]
power_projlen,30,"[30, 127]",10,10,[127]
power_projlen,30,"[30, 128]",8,8,[128]
power_projlen,30,"[30, 129]",38,38,[129]
power_projlen,30,"[30, 130]",12,12,[130]
power_projlen,30,"[30, 132]",8,8,[132]
power_projlen,30,"[30, 133]",11,11,[133]
power_projlen,30,"[30, 134]",38,38,[134]
power_projlen,30,"[30, 135]",2,2,[135]
power_projlen,30,"[30, 136]",36,36,[136]
power_projlen,30,"[30, 137]",33,33,[137]
power_projlen,30,"[30, 138]",81,81,[138]
power_projlen,30,"[30, 139]",26,26,[139]
power_projlen,30,"[30, 140]",1264,1264,[140]
power_projlen,30,"[30, 141]",464,464,[141]
power_projlen,30,"[30, 142]",1648,1648,[142]
power_projlen,30,"[30, 143]",16,16,[143]
power_projlen,30,"[30, 144]",2000,6344,[144]
power_projlen,30,"[30, 145]",1136,1136,[145]
power_projlen,30,"[30, 146]",2000,7175,[146]
power_projlen,30,"[30, 147]",10,10,[147]
power_projlen,30,"[30, 148]",39,39,[148]
power_projlen,30,"[30, 149]",949,949,[149]
power_projlen,30,"[30, 150]",161,161,[150]
power_projlen,30,"[30, 152]",1,1,[152]
power_projlen,30,"[30, 153]",97,97,[153]
power_projlen,30,"[30, 155]",2,2,[155]
power_projlen,30,"[30, 157]",30,30,[157]
two_level,30,"[30, 1, 0]",338,338,"[1, 0]"
two_level,30,"[30, 1, 4]",2000,2033,"[1, 4]"
two_level,30,"[30, 1, 8]",186,186,"[1, 8]"
two_level,30,"[30, 1, 12]",1976,1976,"[1, 12]"
two_level,30,"[30, 1, 16]",2000,2305,"[1, 16]"
two_level,30,"[30, 3, 0]",185,185,"[3, 0]"
two_level,30,"[30, 3, 4]",235,235,"[3, 4]"
two_level,30,"[30, 3, 8]",67,67,"[3, 8]"
two_level,30,"[30, 3, 12]",8,8,"[3, 12]"
two_level,30,"[30, 4, 4]",365,365,"[4, 4]"
two_level,30,"[30, 5, 0]",569,569,"[5, 0]"
two_level,30,"[30, 5, 4]",2000,5029,"[5, 4]"
two_level,30,"[30, 5, 8]",1004,1004,"[5, 8]"
two_level,30,"[30, 5, 12]",2000,3149,"[5, 12]"
two_level,30,"[30, 5, 16]",2000,3850,"[5, 16]"
two_level,30,"[30, 6, 4]",880,880,"[6, 4]"
two_level,30,"[30, 7, 4]",2000,11617,"[7, 4]"
two_level,30,"[30, 7, 8]",1400,1400,"[7, 8]"
two_level,30,"[30, 7, 12]",2000,4383,"[7, 12]"
two_level,30,"[30, 7, 16]",2000,3923,"[7, 16]"
two_level,30,"[30, 8, 4]",1479,1479,"[8, 4]"
two_level,30,"[30, 8, 8]",412,412,"[8, 8]"
two_level,30,"[30, 9, 4]",2000,11373,"[9, 4]"
two_level,30,"[30, 9, 8]",2000,5865,"[9, 8]"
two_level,30,"[30, 9, 12]",2000,4525,"[9, 12]"
two_level,30,"[30, 9, 16]",2000,5265,"[9, 16]"
two_level,30,"[30, 9, 20]",3,3,"[9, 20]"
two_level,30,"[30, 9, 24]",1,1,"[9, 24]"
two_level,30,"[30, 10, 4]",2000,3527,"[10, 4]"
two_level,30,"[30, 10, 8]",2000,2222,"[10, 8]"
two_level,30,"[30, 11, 4]",2000,10485,"[11, 4]"
two_level,30,"[30, 11, 8]",2000,7205,"[11, 8]"
two_level,30,"[30, 11, 12]",2000,2279,"[11, 12]"
two_level,30,"[30, 11, 16]",2000,2949,"[11, 16]"
two_level,30,"[30, 11, 20]",10,10,"[11, 20]"
two_level,30,"[30, 12, 8]",2000,4881,"[12, 8]"
two_level,30,"[30, 12, 12]",18,18,"[12, 12]"
two_level,30,"[30, 13, 4]",2000,12384,"[13, 4]"
two_level,30,"[30, 13, 8]",2000,11452,"[13, 8]"
two_level,30,"[30, 13, 12]",695,695,"[13, 12]"
two_level,30,"[30, 13, 16]",531,531,"[13, 16]"
two_level,30,"[30, 13, 24]",15,15,"[13, 24]"
two_level,30,"[30, 14, 8]",2000,10171,"[14, 8]"
two_level,30,"[30, 14, 12]",23,23,"[14, 12]"
two_level,30,"[30, 15, 8]",2000,9608,"[15, 8]"
two_level,30,"[30, 15, 12]",313,313,"[15, 12]"
two_level,30,"[30, 15, 16]",151,151,"[15, 16]"
two_level,30,"[30, 15, 24]",9,9,"[15, 24]"
two_level,30,"[30, 15, 32]",1,1,"[15, 32]"
two_level,30,"[30, 16, 8]",1950,1950,"[16, 8]"
two_level,30,"[30, 16, 12]",119,119,"[16, 12]"
two_level,30,"[30, 16, 16]",3,3,"[16, 16]"
two_level,30,"[30, 17, 8]",2000,13415,"[17, 8]"
two_level,30,"[30, 17, 12]",193,193,"[17, 12]"
two_level,30,"[30, 17, 16]",39,39,"[17, 16]"
two_level,30,"[30, 17, 28]",1,1,"[17, 28]"
two_level,30,"[30, 18, 8]",2000,4209,"[18, 8]"
two_level,30,"[30, 18, 12]",156,156,"[18, 12]"
two_level,30,"[30, 19, 8]",1138,1138,"[19, 8]"
two_level,30,"[30, 19, 12]",178,178,"[19, 12]"
two_level,30,"[30, 19, 16]",8,8,"[19, 16]"
two_level,30,"[30, 19, 28]",18,18,"[19, 28]"
two_level,30,"[30, 19, 36]",1,1,"[19, 36]"
two_level,30,"[30, 20, 12]",581,581,"[20, 12]"
two_level,30,"[30, 21, 8]",2000,2266,"[21, 8]"
two_level,30,"[30, 21, 12]",142,142,"[21, 12]"
two_level,30,"[30, 21, 16]",4,4,"[21, 16]"
two_level,30,"[30, 21, 32]",2,2,"[21, 32]"
two_level,30,"[30, 21, 36]",1,1,"[21, 36]"
two_level,30,"[30, 22, 12]",1048,1048,"[22, 12]"
two_level,30,"[30, 22, 16]",2,2,"[22, 16]"
two_level,30,"[30, 23, 12]",122,122,"[23, 12]"
two_level,30,"[30, 23, 16]",1,1,"[23, 16]"
two_level,30,"[30, 23, 32]",1,1,"[23, 32]"
two_level,30,"[30, 24, 12]",112,112,"[24, 12]"
two_level,30,"[30, 25, 12]",246,246,"[25, 12]"
two_level,30,"[30, 25, 16]",2,2,"[25, 16]"
two_level,30,"[30, 25, 36]",2,2,"[25, 36]"
two_level,30,"[30, 25, 60]",1,1,"[25, 60]"
two_level,30,"[30, 26, 12]",146,146,"[26, 12]"
two_level,30,"[30, 26, 16]",2,2,"[26, 16]"
two_level,30,"[30, 27, 12]",21,21,"[27, 12]"
two_level,30,"[30, 27, 16]",19,19,"[27, 16]"
two_level,30,"[30, 27, 36]",6,6,"[27, 36]"
two_level,30,"[30, 28, 16]",59,59,"[28, 16]"
two_level,30,"[30, 29, 12]",2000,16822,"[29, 12]"
two_level,30,"[30, 29, 16]",29,29,"[29, 16]"
two_level,30,"[30, 29, 40]",10,10,"[29, 40]"
